Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,744.54,807.76,986.66,5.95,1116.81,60.0,0.52
BALANCED,5000,618.15,671.06,869.27,15.46,927.23,60.0,1.26
BALANCED,10000,621.42,681.8,869.96,26.95,932.12,60.0,2.44
BALANCED,20000,620.53,689.84,749.61,54.78,930.8,60.0,0.0
EXPLORATION,2000,619.37,744.84,877.46,8.63,929.05,60.0,30.88
EXPLORATION,5000,555.79,612.69,763.43,21.28,833.69,60.0,37.1
EXPLORATION,10000,505.76,554.89,685.32,37.34,758.64,60.0,32.85
EXPLORATION,20000,508.1,581.21,709.07,80.29,762.16,60.0,50.0
EXPLOITATION,2000,505.0,630.65,688.45,44.24,757.5,60.0,50.0
EXPLOITATION,5000,488.37,533.39,607.48,121.08,732.56,60.0,50.0
EXPLOITATION,10000,458.23,497.49,620.0,217.86,687.35,60.0,50.0
EXPLOITATION,20000,423.14,466.06,492.28,419.49,634.72,60.0,50.0
