Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,44565.99,48350.23,56751.18,13.76,103987.3,70.0,1.39
BALANCED,5000,36529.24,39926.69,47257.38,30.22,85234.89,70.0,0.76
BALANCED,10000,32663.84,35699.68,38003.49,70.78,76215.62,70.0,0.0
BALANCED,20000,32192.0,37865.67,43028.73,136.81,75114.66,70.0,1.56
EXPLORATION,2000,29774.48,33264.96,37492.84,18.29,69473.79,70.0,48.93
EXPLORATION,5000,25419.06,28089.27,33980.96,44.09,59311.14,70.0,50.0
EXPLORATION,10000,24369.79,26991.48,30406.49,78.58,56862.85,70.0,50.0
EXPLORATION,20000,22274.31,24293.56,27848.73,180.96,51973.39,70.0,20.07
EXPLOITATION,2000,21962.05,30510.13,33590.72,143.45,51244.77,70.0,50.0
EXPLOITATION,5000,17995.91,19691.18,20787.64,376.69,41990.45,70.0,50.0
EXPLOITATION,10000,16422.16,17975.19,19748.21,727.54,38318.37,70.0,50.0
EXPLOITATION,20000,16168.03,17361.68,19043.23,1358.31,37725.39,70.0,50.0
