Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,250603.33,269636.56,292846.62,62.49,465406.18,65.0,1.41
BALANCED,5000,211792.22,229664.74,245145.78,133.22,393328.41,65.0,0.72
BALANCED,10000,156655.23,170094.94,184587.13,275.62,290931.13,65.0,0.69
BALANCED,20000,144719.58,156886.97,174538.67,596.58,268764.94,65.0,2.29
EXPLORATION,2000,139712.08,265366.31,293824.85,61.0,259465.29,65.0,50.0
EXPLORATION,5000,148338.68,222354.83,247835.24,152.34,275486.11,65.0,50.0
EXPLORATION,10000,140815.01,156609.24,178705.07,328.37,261513.6,65.0,50.0
EXPLORATION,20000,113567.25,124464.55,135112.47,612.05,210910.6,65.0,50.0
EXPLOITATION,2000,116021.32,255502.66,280573.5,2477.5,215468.16,65.0,50.0
EXPLOITATION,5000,112794.97,185661.77,201253.69,5644.6,209476.37,65.0,50.0
EXPLOITATION,10000,108901.07,138379.53,154226.05,11642.19,202244.85,65.0,50.0
EXPLOITATION,20000,93834.38,100889.43,112177.99,21150.69,174263.84,65.0,50.0
