Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,62360.6,63114.66,71526.45,1.44,93896.63,60.1,0.4
BALANCED,5000,53189.24,53340.36,56211.48,3.58,103067.98,66.0,0.2
BALANCED,10000,45227.76,45377.47,48222.05,7.15,111029.47,71.1,0.2
BALANCED,20000,43042.82,43417.87,50543.67,14.31,113214.4,72.5,0.2
EXPLORATION,2000,45307.9,46309.35,50793.18,1.82,110949.32,71.0,16.28
EXPLORATION,5000,35392.5,36433.52,41409.83,4.57,120864.72,77.3,45.43
EXPLORATION,10000,30927.57,31922.79,35438.0,9.16,125329.66,80.2,23.88
EXPLORATION,20000,30927.57,31342.09,34646.83,18.38,125329.66,80.2,19.22
EXPLOITATION,2000,62644.71,62914.0,66844.35,1.3,93612.51,59.9,0.4
EXPLOITATION,5000,53863.32,54089.86,58393.96,3.23,102393.9,65.5,0.2
EXPLOITATION,10000,50985.53,51193.2,54719.99,6.53,105271.7,67.4,0.39
EXPLOITATION,20000,46431.06,46431.06,46431.06,13.03,109826.17,70.3,0.0
