Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,60961.39,61202.45,63475.27,1.46,84328.4,58.0,0.4
BALANCED,5000,51046.32,51128.51,52690.03,3.63,94243.47,64.9,0.2
BALANCED,10000,45128.27,45128.27,45128.27,7.27,100161.52,68.9,0.0
BALANCED,20000,41074.22,42041.31,53196.33,14.61,104215.57,71.7,0.4
EXPLORATION,2000,41074.22,45260.32,48230.27,1.83,104215.57,71.7,26.42
EXPLORATION,5000,36417.92,36957.62,40432.95,4.6,108871.87,74.9,14.38
EXPLORATION,10000,31322.63,32271.26,36525.5,9.22,113967.16,78.4,15.37
EXPLORATION,20000,31322.63,33025.99,35125.44,18.57,113967.16,78.4,2.44
EXPLOITATION,2000,31322.63,39320.69,39320.69,15.01,113967.16,78.4,99.47
EXPLOITATION,5000,29424.49,29424.49,29424.49,37.33,115865.3,79.7,99.07
EXPLOITATION,10000,26749.88,26749.88,26749.88,74.81,118539.91,81.6,98.94
EXPLOITATION,20000,23463.23,23603.09,24874.5,149.47,121826.56,83.9,99.44
