Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,36422.04,36674.95,39314.77,1.5,75871.01,67.6,0.6
BALANCED,5000,29951.61,29951.61,29951.61,3.73,82341.44,73.3,0.0
BALANCED,10000,29951.61,30867.39,30867.39,7.81,82341.44,73.3,0.0
BALANCED,20000,26866.14,26866.14,26866.14,15.43,85426.91,76.1,0.0
EXPLORATION,2000,26866.14,38948.95,39824.66,2.02,85426.91,76.1,6.97
EXPLORATION,5000,26468.42,26622.35,27761.49,4.97,85824.63,76.4,3.25
EXPLORATION,10000,23421.27,23706.27,26420.89,9.85,88871.78,79.1,4.17
EXPLORATION,20000,23421.27,26597.55,30273.64,19.53,88871.78,79.1,13.25
EXPLOITATION,2000,23421.27,29519.5,30427.18,16.24,88871.78,79.1,103.92
EXPLOITATION,5000,21278.31,21295.31,21618.29,39.94,91014.74,81.1,103.93
EXPLOITATION,10000,18170.48,18170.48,18170.48,80.1,94122.57,83.8,103.92
EXPLOITATION,20000,15952.44,16008.07,17065.03,160.54,96340.61,85.8,104.59
