Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,9020356.81,9028169.13,9035148.45,33.77,6044120.37,40.1,1.19
BALANCED,5000,7666828.07,7666828.07,7666828.07,83.43,7397649.12,49.1,0.0
BALANCED,10000,6581611.47,6582602.95,6601441.05,167.07,8482865.72,56.3,0.2
BALANCED,20000,5550049.97,5552251.71,5594084.69,333.19,9514427.21,63.2,0.2
EXPLORATION,2000,11446473.1,11450169.99,11462220.4,34.59,3618004.08,24.0,602.03
EXPLORATION,5000,9607639.42,9626332.16,9651170.95,86.97,5456837.76,36.2,479.68
EXPLORATION,10000,7849656.66,7853910.29,7870708.77,174.74,7214820.52,47.9,284.93
EXPLORATION,20000,6127844.68,6138220.3,6155427.68,347.42,8936632.51,59.3,687.38
EXPLOITATION,2000,10361445.22,10363396.24,10387738.52,29.43,4703031.96,31.2,269.33
EXPLOITATION,5000,8833069.2,8833684.08,8845366.75,73.76,6231407.99,41.4,0.2
EXPLOITATION,10000,7685730.94,7685730.94,7685730.94,148.43,7378746.25,49.0,0.0
EXPLOITATION,20000,6785120.79,6785946.02,6801625.45,297.01,8279356.4,55.0,0.2
