Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1268.72,1273.06,1355.52,1.1,2040.51,61.7,0.2
BALANCED,5000,1098.42,1121.47,1295.23,2.72,2210.81,66.8,0.6
BALANCED,10000,1098.42,1367.54,1705.92,5.42,2210.81,66.8,0.8
BALANCED,20000,1049.94,1049.94,1049.94,10.86,2259.29,68.3,0.0
EXPLORATION,2000,1036.88,1063.91,1182.38,1.47,2272.34,68.7,33.92
EXPLORATION,5000,897.51,916.33,1132.13,3.67,2411.72,72.9,11.75
EXPLORATION,10000,869.44,884.15,1033.95,7.34,2439.79,73.7,4.41
EXPLORATION,20000,869.44,922.72,1008.38,15.06,2439.79,73.7,8.05
EXPLOITATION,2000,869.44,939.91,1010.77,8.32,2439.79,73.7,69.31
EXPLOITATION,5000,796.32,798.26,835.09,20.6,2512.91,75.9,68.66
EXPLOITATION,10000,737.53,737.53,737.53,40.95,2571.7,77.7,68.08
EXPLOITATION,20000,731.9,739.98,828.75,82.31,2577.33,77.9,68.96
