Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1631809993.66,1754256749.38,1850206069.6,475.4,3030504273.94,65.0,0.43
BALANCED,5000,1429014209.1,1542667349.14,1629056624.36,1149.85,2653883531.19,65.0,1.19
BALANCED,10000,1383527951.99,1487052871.71,1561915353.54,2163.73,2569409053.69,65.0,1.8
BALANCED,20000,1092903152.22,1160428762.45,1242629207.19,4283.65,2029677282.7,65.0,1.23
EXPLORATION,2000,1656204438.26,1780571670.67,1911986886.84,476.87,3075808242.49,65.0,50.0
EXPLORATION,5000,1602276969.07,1722055540.73,1818757087.66,1093.39,2975657228.27,65.0,50.0
EXPLORATION,10000,1408110924.06,1531184815.18,1775898839.91,2370.79,2615063144.68,65.0,50.0
EXPLORATION,20000,1252136316.95,1352361255.76,1445619720.16,4754.7,2325396017.19,65.0,50.0
EXPLOITATION,2000,1597285537.19,1692312101.9,1827994702.63,418.37,2966387426.21,65.0,50.0
EXPLOITATION,5000,1422384364.57,1523933017.66,1647825829.59,976.24,2641570962.77,65.0,50.0
EXPLOITATION,10000,1240043192.71,1329331696.46,1444316101.95,1785.7,2302937357.89,65.0,50.0
EXPLOITATION,20000,1030019969.82,1111291808.88,1157524369.36,3487.39,1912894229.67,65.0,0.0
