Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[28, 20, 33, 29, 9, 38, 32, 44, 14, 4, 31, 0, 21, 7, 47, 5, 26, 10, 37, 48, 8, 49, 15, 1, 45, 50, 17, 3, 46, 11, 16, 36, 43, 41, 18, 39, 40, 12, 24, 13, 23, 42, 22, 6, 25, 30, 27, 2, 35, 34, 19]",472.95892990018035,"[50, 45, 46, 11, 4, 48, 15, 1, 2, 35, 34, 19, 28, 20, 10, 31, 0, 7, 25, 6, 42, 23, 24, 12, 40, 39, 18, 41, 16, 43, 14, 44, 32, 38, 29, 8, 37, 26, 47, 22, 5, 13, 17, 3, 36, 9, 33, 49, 21, 27, 30]",556.1629101060364,"[21, 1, 15, 10, 31, 26, 0, 7, 25, 47, 22, 6, 42, 23, 5, 13, 24, 12, 40, 39, 18, 41, 43, 36, 16, 3, 17, 46, 11, 50, 45, 4, 37, 48, 9, 14, 44, 32, 38, 29, 8, 49, 33, 20, 28, 19, 34, 35, 2, 27, 30]",461.1067404834506
"[6, 22, 47, 7, 25, 30, 27, 2, 35, 34, 19, 15, 49, 8, 48, 9, 38, 32, 44, 14, 16, 46, 5, 26, 31, 10, 3, 12, 40, 39, 18, 41, 43, 36, 45, 50, 0, 21, 1, 28, 20, 33, 29, 37, 4, 11, 17, 24, 13, 23, 42]",504.51292463259796,"[5, 22, 23, 42, 6, 25, 30, 27, 2, 1, 10, 37, 15, 49, 33, 29, 48, 8, 20, 28, 19, 35, 34, 38, 32, 9, 4, 11, 36, 43, 41, 18, 39, 40, 12, 24, 13, 47, 7, 21, 0, 31, 26, 50, 45, 46, 17, 3, 16, 44, 14]",557.2356067394408,"[42, 6, 22, 5, 26, 50, 45, 46, 11, 4, 48, 37, 15, 1, 10, 31, 0, 21, 47, 7, 25, 30, 27, 2, 35, 34, 19, 28, 20, 33, 49, 8, 29, 9, 38, 32, 44, 14, 43, 41, 18, 39, 40, 36, 16, 3, 17, 12, 24, 13, 23]",463.5367168530506
"[6, 42, 23, 13, 24, 12, 40, 39, 18, 41, 43, 16, 46, 50, 26, 47, 7, 25, 30, 27, 21, 0, 31, 10, 37, 8, 48, 4, 11, 45, 1, 2, 35, 34, 19, 28, 20, 15, 49, 33, 29, 9, 38, 32, 44, 14, 36, 3, 17, 5, 22]",469.3556420349617,"[29, 33, 20, 49, 15, 37, 10, 1, 28, 34, 35, 7, 6, 22, 13, 24, 17, 46, 5, 47, 26, 50, 11, 16, 36, 31, 0, 21, 19, 2, 27, 30, 25, 42, 23, 45, 4, 48, 9, 38, 32, 44, 3, 12, 40, 39, 18, 41, 43, 14, 8]",580.8036160651296,"[44, 14, 36, 43, 41, 18, 39, 40, 12, 3, 16, 4, 37, 48, 8, 49, 15, 10, 31, 50, 45, 11, 46, 17, 24, 13, 23, 42, 6, 22, 47, 5, 26, 0, 7, 25, 30, 27, 21, 1, 2, 35, 34, 19, 28, 20, 33, 29, 9, 38, 32]",455.539127679616
"[41, 43, 44, 32, 14, 36, 4, 37, 10, 1, 15, 33, 29, 38, 9, 48, 8, 49, 20, 28, 19, 34, 35, 2, 27, 30, 7, 25, 6, 42, 23, 22, 47, 45, 11, 16, 3, 17, 46, 50, 31, 21, 0, 26, 5, 13, 24, 12, 40, 39, 18]",471.54170550356463,"[39, 18, 4, 8, 49, 15, 1, 21, 30, 27, 2, 35, 34, 19, 28, 20, 33, 29, 38, 9, 48, 37, 22, 23, 13, 50, 45, 26, 0, 31, 10, 11, 36, 43, 16, 3, 17, 40, 12, 24, 42, 6, 25, 7, 47, 5, 46, 14, 32, 44, 41]",574.596827553628,"[45, 11, 4, 36, 16, 3, 46, 17, 13, 24, 12, 40, 39, 18, 41, 43, 14, 44, 32, 38, 29, 9, 48, 37, 8, 33, 49, 15, 10, 1, 20, 28, 19, 34, 35, 2, 27, 30, 21, 7, 25, 6, 42, 23, 22, 47, 5, 26, 0, 31, 50]",460.20613921974774
"[4, 37, 15, 28, 20, 49, 8, 48, 32, 44, 14, 43, 41, 18, 39, 40, 12, 24, 5, 47, 26, 0, 21, 1, 19, 34, 35, 2, 27, 30, 7, 25, 6, 22, 42, 23, 13, 17, 3, 46, 11, 9, 38, 29, 33, 10, 31, 45, 50, 16, 36]",492.99456804151055,"[30, 25, 7, 21, 48, 9, 38, 32, 44, 14, 4, 11, 50, 5, 24, 12, 40, 39, 18, 41, 43, 36, 16, 3, 46, 17, 13, 23, 42, 6, 22, 47, 0, 31, 26, 45, 10, 37, 8, 15, 49, 29, 33, 20, 28, 34, 35, 19, 1, 2, 27]",509.1047254334403,"[4, 14, 44, 32, 38, 29, 33, 8, 49, 20, 28, 15, 1, 19, 34, 35, 2, 27, 30, 21, 0, 47, 7, 25, 6, 22, 42, 23, 5, 13, 24, 17, 12, 40, 39, 18, 41, 43, 36, 16, 3, 46, 11, 45, 50, 26, 31, 10, 37, 48, 9]",462.15061863596617
"[38, 29, 33, 49, 8, 4, 16, 36, 14, 32, 44, 43, 41, 18, 39, 40, 12, 24, 13, 17, 3, 46, 11, 10, 15, 20, 28, 19, 34, 35, 2, 27, 30, 7, 25, 6, 42, 23, 22, 47, 5, 26, 50, 45, 31, 0, 21, 1, 37, 48, 9]",465.75432771550004,"[15, 49, 33, 20, 34, 35, 21, 50, 45, 11, 16, 36, 4, 9, 38, 32, 44, 14, 43, 41, 18, 39, 40, 12, 3, 17, 24, 13, 5, 30, 27, 2, 19, 28, 1, 10, 31, 0, 7, 25, 6, 47, 26, 48, 29, 8, 37, 46, 23, 42, 22]",595.2227468633477,"[28, 19, 34, 35, 2, 27, 30, 25, 7, 21, 1, 31, 0, 26, 5, 47, 22, 6, 42, 23, 13, 24, 12, 40, 39, 18, 41, 43, 16, 3, 17, 46, 50, 45, 11, 4, 36, 14, 44, 32, 38, 9, 29, 33, 8, 48, 37, 10, 15, 49, 20]",447.9380957969891
"[11, 4, 48, 29, 33, 49, 15, 20, 28, 19, 34, 35, 2, 1, 31, 50, 45, 36, 43, 41, 18, 39, 40, 12, 24, 13, 23, 42, 6, 22, 47, 5, 26, 21, 27, 30, 25, 7, 0, 10, 37, 8, 9, 38, 32, 44, 14, 16, 3, 17, 46]",477.8150348003476,"[31, 10, 29, 33, 28, 19, 1, 15, 20, 49, 8, 48, 9, 38, 32, 4, 11, 46, 12, 40, 39, 18, 41, 37, 34, 35, 2, 27, 30, 47, 22, 13, 24, 17, 3, 43, 44, 14, 36, 16, 45, 50, 5, 23, 42, 6, 25, 7, 21, 0, 26]",576.2949660862682,"[32, 9, 48, 37, 4, 11, 46, 3, 16, 36, 14, 44, 43, 41, 18, 39, 40, 12, 17, 24, 13, 5, 23, 42, 6, 22, 47, 25, 30, 7, 0, 26, 50, 45, 10, 31, 21, 27, 2, 35, 34, 19, 1, 28, 20, 33, 49, 15, 8, 29, 38]",468.6156505148704
"[9, 38, 29, 33, 15, 37, 4, 36, 43, 41, 18, 39, 40, 12, 24, 13, 17, 46, 3, 16, 14, 44, 32, 48, 8, 49, 20, 28, 27, 30, 7, 25, 6, 42, 23, 22, 47, 5, 26, 0, 21, 2, 35, 34, 19, 1, 10, 31, 50, 45, 11]",493.2959265861946,"[12, 19, 34, 35, 2, 6, 42, 23, 22, 47, 28, 20, 33, 29, 38, 9, 48, 4, 37, 1, 21, 0, 36, 14, 44, 43, 41, 16, 11, 26, 7, 25, 30, 27, 46, 3, 17, 24, 13, 5, 50, 45, 31, 10, 15, 49, 8, 32, 18, 39, 40]",663.8810784407838,"[3, 46, 16, 36, 14, 44, 32, 38, 9, 29, 33, 8, 49, 20, 28, 15, 10, 37, 48, 4, 11, 45, 50, 31, 0, 7, 21, 1, 19, 34, 35, 2, 27, 30, 25, 6, 42, 23, 22, 47, 26, 5, 17, 13, 24, 12, 40, 39, 18, 41, 43]",468.6637526745336
"[33, 29, 9, 38, 32, 44, 14, 43, 41, 18, 39, 40, 12, 46, 11, 45, 50, 5, 23, 42, 6, 25, 7, 30, 27, 21, 0, 31, 26, 47, 22, 13, 24, 17, 3, 16, 36, 4, 10, 37, 48, 8, 49, 20, 28, 19, 34, 35, 2, 1, 15]",468.58601844986515,"[29, 38, 9, 4, 45, 50, 26, 5, 46, 17, 24, 13, 23, 42, 6, 22, 47, 31, 10, 1, 21, 0, 7, 25, 30, 27, 2, 28, 20, 33, 49, 37, 15, 34, 35, 19, 11, 16, 3, 12, 40, 39, 18, 41, 43, 36, 14, 44, 32, 48, 8]",538.9101008405917,"[35, 34, 19, 28, 20, 15, 49, 33, 29, 38, 9, 48, 8, 37, 10, 31, 0, 26, 50, 45, 4, 36, 14, 32, 44, 43, 16, 11, 46, 3, 41, 18, 39, 40, 12, 24, 13, 17, 5, 23, 42, 6, 22, 47, 7, 25, 30, 27, 21, 1, 2]",467.4340629934196
"[35, 2, 27, 30, 7, 47, 5, 50, 45, 11, 36, 14, 32, 44, 43, 41, 18, 39, 40, 12, 46, 26, 0, 31, 10, 15, 33, 29, 38, 9, 48, 8, 49, 20, 28, 21, 25, 6, 22, 42, 23, 13, 24, 17, 3, 16, 4, 37, 1, 19, 34]",501.9876548032138,"[35, 2, 21, 31, 10, 45, 50, 5, 47, 25, 6, 24, 12, 40, 39, 18, 41, 11, 0, 27, 30, 7, 26, 4, 37, 8, 33, 29, 38, 9, 48, 49, 20, 28, 15, 14, 36, 46, 13, 23, 42, 22, 17, 3, 16, 43, 44, 32, 1, 19, 34]",618.7344780843108,"[34, 28, 20, 33, 49, 15, 10, 37, 8, 29, 38, 9, 48, 4, 36, 14, 32, 44, 43, 41, 18, 39, 40, 12, 3, 16, 11, 46, 17, 24, 13, 23, 42, 22, 6, 25, 30, 27, 2, 21, 7, 47, 5, 50, 45, 26, 0, 31, 1, 19, 35]",477.6549139572169
