Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[18, 39, 40, 12, 16, 36, 4, 10, 31, 0, 7, 25, 30, 27, 21, 15, 49, 8, 29, 33, 20, 28, 19, 34, 35, 2, 1, 37, 48, 9, 38, 32, 44, 14, 43, 3, 17, 24, 13, 22, 6, 42, 23, 5, 47, 26, 50, 45, 11, 46, 41]",497.1206969148187,"[18, 41, 43, 48, 8, 33, 29, 9, 38, 32, 44, 14, 4, 37, 49, 20, 15, 10, 11, 3, 16, 36, 1, 28, 19, 2, 25, 6, 22, 42, 23, 13, 50, 45, 26, 0, 21, 27, 30, 7, 47, 5, 17, 46, 31, 34, 35, 24, 12, 40, 39]",598.5410711834754,"[41, 18, 39, 40, 12, 24, 13, 17, 3, 16, 36, 43, 14, 44, 32, 38, 9, 48, 4, 37, 10, 45, 11, 46, 50, 26, 0, 31, 1, 15, 49, 8, 29, 33, 20, 28, 19, 34, 35, 2, 27, 30, 21, 7, 25, 6, 22, 47, 5, 23, 42]",434.19862437830733
"[43, 36, 4, 10, 37, 29, 33, 20, 28, 27, 30, 7, 25, 22, 13, 17, 3, 16, 14, 44, 32, 38, 9, 48, 8, 49, 15, 1, 19, 34, 35, 2, 21, 0, 31, 26, 50, 45, 11, 46, 5, 47, 6, 42, 23, 24, 12, 40, 39, 18, 41]",493.767379382245,"[36, 43, 14, 44, 32, 38, 9, 16, 17, 24, 12, 40, 39, 18, 41, 3, 46, 50, 45, 31, 10, 37, 8, 48, 4, 13, 23, 42, 6, 22, 5, 26, 49, 29, 33, 19, 34, 35, 2, 27, 30, 21, 28, 20, 15, 1, 0, 7, 25, 47, 11]",548.6989072326156,"[36, 16, 3, 17, 46, 11, 45, 50, 26, 31, 10, 37, 4, 48, 9, 29, 38, 32, 44, 14, 43, 41, 18, 39, 40, 12, 24, 13, 5, 47, 7, 0, 21, 1, 15, 8, 49, 33, 20, 28, 19, 34, 35, 2, 27, 30, 25, 6, 22, 23, 42]",424.42137223869884
"[50, 11, 46, 12, 40, 39, 18, 41, 43, 36, 4, 10, 31, 0, 21, 2, 35, 34, 19, 1, 15, 33, 29, 37, 45, 5, 22, 6, 42, 23, 13, 24, 17, 3, 16, 14, 44, 32, 38, 9, 48, 8, 49, 20, 28, 27, 30, 25, 7, 47, 26]",497.42554901081616,"[39, 40, 12, 50, 45, 37, 8, 48, 4, 11, 46, 16, 36, 14, 20, 28, 1, 31, 0, 21, 30, 27, 35, 34, 19, 2, 13, 24, 17, 43, 44, 32, 38, 9, 29, 33, 49, 15, 10, 26, 7, 25, 6, 42, 23, 22, 47, 5, 3, 41, 18]",558.2089919056488,"[42, 23, 13, 24, 17, 12, 40, 39, 18, 41, 43, 14, 36, 16, 3, 46, 11, 4, 37, 48, 44, 32, 38, 9, 29, 8, 49, 33, 20, 15, 28, 19, 1, 10, 31, 0, 26, 45, 50, 5, 22, 6, 47, 25, 7, 21, 30, 27, 2, 34, 35]",461.0950844298952
"[36, 43, 41, 18, 39, 40, 12, 24, 13, 23, 42, 6, 22, 47, 5, 26, 0, 21, 2, 35, 34, 19, 27, 30, 25, 7, 31, 10, 37, 8, 48, 4, 14, 44, 32, 38, 9, 29, 33, 49, 15, 20, 28, 1, 45, 50, 11, 46, 17, 3, 16]",462.5319574784821,"[47, 22, 42, 6, 25, 30, 2, 35, 34, 19, 28, 20, 15, 10, 45, 11, 16, 43, 36, 31, 0, 7, 27, 49, 33, 29, 1, 21, 50, 46, 3, 17, 24, 13, 23, 5, 14, 44, 32, 38, 9, 41, 18, 39, 40, 12, 4, 48, 8, 37, 26]",606.7615233747176,"[35, 34, 19, 2, 27, 30, 25, 7, 47, 22, 6, 42, 23, 5, 26, 50, 45, 46, 11, 4, 48, 8, 37, 10, 31, 0, 21, 1, 28, 20, 15, 49, 33, 29, 9, 38, 32, 44, 14, 43, 41, 36, 16, 3, 17, 13, 24, 12, 40, 18, 39]",419.9771290314658
"[18, 41, 43, 14, 44, 32, 48, 8, 49, 15, 37, 10, 31, 26, 5, 13, 24, 17, 3, 16, 36, 4, 9, 38, 29, 33, 20, 28, 1, 21, 25, 6, 42, 23, 22, 47, 7, 30, 27, 2, 35, 34, 19, 0, 50, 45, 11, 46, 12, 40, 39]",488.2787199402545,"[12, 40, 39, 18, 48, 9, 38, 29, 8, 37, 10, 31, 4, 32, 44, 14, 43, 41, 16, 36, 11, 45, 0, 21, 7, 47, 5, 13, 24, 23, 42, 1, 15, 49, 33, 20, 28, 19, 34, 35, 2, 27, 30, 25, 6, 22, 26, 50, 46, 3, 17]",528.2672726669108,"[41, 18, 39, 40, 12, 24, 13, 5, 47, 26, 0, 31, 50, 45, 4, 11, 46, 17, 3, 16, 36, 43, 14, 44, 32, 38, 29, 9, 48, 8, 33, 49, 15, 37, 10, 1, 20, 28, 19, 34, 35, 2, 21, 27, 30, 7, 25, 6, 22, 23, 42]",435.36261066118755
"[32, 38, 9, 29, 33, 20, 49, 15, 10, 11, 46, 50, 45, 37, 8, 48, 4, 36, 43, 41, 18, 39, 40, 12, 24, 13, 23, 42, 22, 6, 25, 7, 47, 31, 1, 28, 19, 34, 35, 2, 27, 30, 21, 0, 26, 5, 17, 3, 16, 14, 44]",478.2578605259777,"[31, 10, 1, 19, 35, 34, 28, 33, 29, 48, 4, 36, 16, 11, 37, 8, 49, 20, 15, 0, 7, 25, 30, 27, 2, 21, 47, 22, 6, 42, 23, 5, 26, 9, 38, 32, 44, 14, 45, 50, 46, 43, 41, 17, 13, 24, 12, 39, 18, 40, 3]",569.1404236467167,"[41, 18, 39, 40, 12, 24, 13, 5, 26, 50, 45, 31, 10, 37, 48, 4, 11, 46, 17, 3, 16, 36, 43, 14, 44, 32, 38, 9, 29, 33, 20, 49, 8, 15, 1, 28, 19, 34, 35, 2, 27, 30, 21, 0, 7, 25, 47, 6, 22, 23, 42]",429.08357634337165
"[41, 43, 48, 8, 49, 20, 28, 1, 21, 7, 47, 50, 45, 11, 46, 36, 14, 44, 32, 38, 9, 29, 33, 15, 10, 37, 4, 16, 3, 17, 13, 23, 42, 22, 6, 25, 30, 27, 2, 35, 34, 19, 0, 31, 26, 5, 24, 12, 40, 39, 18]",500.073780113431,"[18, 41, 43, 36, 1, 35, 34, 15, 4, 11, 46, 16, 14, 44, 32, 38, 9, 3, 17, 13, 23, 42, 25, 7, 0, 31, 50, 45, 10, 37, 48, 8, 29, 33, 49, 20, 28, 19, 2, 27, 30, 21, 26, 5, 47, 6, 22, 24, 12, 40, 39]",541.216848220658,"[21, 1, 15, 49, 8, 37, 4, 10, 31, 0, 26, 50, 45, 11, 46, 17, 13, 24, 12, 40, 39, 18, 41, 3, 16, 36, 43, 14, 44, 32, 38, 9, 48, 29, 33, 20, 28, 19, 34, 35, 2, 27, 30, 7, 25, 6, 22, 47, 5, 23, 42]",428.1190195036822
"[36, 4, 37, 15, 28, 20, 49, 33, 29, 8, 10, 31, 0, 47, 5, 45, 48, 9, 38, 32, 44, 14, 16, 3, 17, 24, 13, 23, 42, 22, 6, 25, 7, 21, 1, 19, 34, 35, 2, 27, 30, 26, 50, 11, 46, 12, 40, 39, 18, 41, 43]",502.644684692611,"[43, 46, 50, 21, 27, 30, 7, 25, 6, 22, 5, 17, 3, 16, 36, 9, 48, 4, 11, 45, 26, 47, 42, 23, 13, 24, 12, 40, 39, 18, 41, 38, 29, 33, 49, 20, 28, 19, 34, 35, 2, 1, 15, 8, 0, 31, 10, 37, 32, 44, 14]",528.0973731430464,"[42, 6, 22, 23, 13, 24, 17, 12, 40, 39, 18, 41, 43, 44, 32, 14, 36, 16, 3, 46, 11, 45, 50, 26, 31, 0, 21, 1, 15, 8, 37, 10, 4, 48, 9, 38, 29, 33, 49, 20, 28, 19, 34, 35, 2, 27, 30, 25, 7, 47, 5]",427.6239974236778
"[13, 23, 42, 6, 22, 31, 10, 37, 48, 9, 38, 32, 44, 14, 36, 5, 47, 7, 27, 30, 25, 26, 50, 45, 0, 21, 1, 15, 49, 8, 29, 33, 20, 28, 2, 35, 34, 19, 4, 11, 46, 12, 40, 39, 18, 41, 43, 16, 3, 17, 24]",531.1462198658622,"[40, 12, 24, 13, 25, 30, 27, 7, 5, 46, 36, 14, 44, 9, 20, 28, 34, 35, 2, 0, 26, 47, 22, 6, 42, 23, 17, 3, 16, 43, 32, 38, 29, 33, 49, 15, 10, 1, 19, 21, 31, 50, 45, 11, 4, 37, 8, 48, 41, 18, 39]",559.064907479382,"[21, 0, 31, 10, 45, 50, 26, 5, 13, 24, 12, 17, 46, 11, 3, 40, 39, 18, 41, 16, 36, 43, 14, 44, 32, 38, 29, 9, 48, 4, 37, 8, 33, 20, 49, 15, 1, 28, 19, 34, 35, 2, 27, 30, 25, 7, 47, 22, 6, 42, 23]",442.9277596115738
"[38, 32, 44, 14, 43, 41, 18, 39, 40, 12, 24, 13, 17, 3, 46, 11, 48, 8, 49, 20, 28, 45, 50, 16, 36, 4, 37, 10, 31, 0, 30, 27, 2, 35, 34, 19, 26, 5, 47, 22, 23, 42, 6, 25, 7, 21, 1, 15, 33, 29, 9]",505.7424287875274,"[18, 41, 43, 36, 37, 10, 1, 19, 34, 35, 2, 27, 30, 5, 26, 31, 15, 28, 20, 49, 8, 33, 29, 48, 46, 13, 23, 24, 17, 3, 16, 14, 44, 32, 38, 9, 4, 11, 45, 50, 0, 21, 7, 25, 47, 22, 6, 42, 12, 40, 39]",530.436791168561,"[39, 41, 18, 40, 12, 24, 13, 23, 42, 6, 22, 47, 5, 26, 50, 45, 46, 17, 3, 16, 11, 4, 37, 10, 31, 0, 21, 1, 15, 49, 8, 48, 9, 14, 36, 43, 44, 32, 38, 29, 33, 20, 28, 19, 34, 35, 2, 27, 30, 7, 25]",431.922126623929
