Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 44, 39, 0, 32, 12, 45, 10, 14, 36, 21, 26, 11, 24, 37, 40, 35, 42, 5, 13, 34, 43, 15, 30, 29, 19, 20, 25, 31, 9, 48, 22, 7, 49, 41, 47, 3, 33, 17, 16, 6, 2, 23, 1, 38, 27, 46, 50, 28, 4]",1673.399101715006
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 13, 34, 43, 15, 30, 29, 46, 40, 37, 24, 11, 26, 23, 1, 38, 27, 19, 48, 9, 31, 25, 20, 22, 7, 49, 41, 5, 42, 35, 50, 28, 4]",1594.8896090857893
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 17, 44, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 13, 34, 43, 15, 30, 29, 19, 20, 41, 49, 7, 22, 48, 9, 31, 25, 47, 16, 6, 2, 23, 1, 38, 27, 46, 50, 28, 4]",1658.4368152055895
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 35, 42, 3, 16, 6, 30, 15, 43, 34, 13, 5, 17, 12, 29, 32, 2, 23, 1, 38, 39, 0, 21, 36, 14, 10, 45, 44, 27, 26, 11, 24, 37, 40, 50, 28, 4]",1626.4722521652989
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 30, 29, 27, 38, 1, 23, 2, 6, 28, 50, 46, 19, 20, 25, 31, 9, 48, 22, 7, 49, 41, 47, 17, 44, 39, 0, 32, 12, 45, 10, 14, 36, 21, 26, 11, 24, 37, 40, 35, 42, 5, 13, 34, 43, 15, 16, 4]",1673.399101715006
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 2, 6, 16, 3, 25, 20, 19, 46, 50, 22, 7, 49, 41, 29, 27, 38, 1, 23, 10, 45, 12, 32, 0, 39, 44, 17, 47, 30, 15, 43, 34, 13, 31, 9, 48, 28, 4]",1645.4764117150487
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[43, 15, 30, 29, 7, 32, 0, 39, 44, 17, 47, 37, 40, 35, 42, 5, 13, 34, 18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 49, 41, 24, 11, 26, 21, 36, 14, 10, 45, 12, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1649.6926595500672
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 0, 11, 26, 43, 34, 13, 5, 42, 35, 40, 37, 24, 32, 12, 45, 17, 47, 41, 49, 7, 22, 48, 9, 31, 21, 15, 30, 20, 19, 46, 50, 28, 4, 36, 14, 10, 44, 39, 29, 25]",1615.103374444429
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 22, 7, 49, 41, 47, 17, 44, 39, 0, 48, 9, 31, 25, 27, 38, 1, 23, 2, 6, 16, 34, 43, 15, 30, 29, 20, 19, 46, 50, 28, 4]",1618.6340185133768
"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[18, 8, 33, 3, 16, 6, 2, 23, 1, 38, 27, 29, 30, 15, 43, 34, 13, 5, 42, 35, 40, 37, 24, 11, 26, 21, 36, 14, 10, 45, 12, 32, 0, 39, 44, 17, 47, 41, 49, 7, 22, 48, 9, 31, 25, 20, 19, 46, 50, 28, 4]",1673.399101715006,"[50, 46, 19, 20, 25, 31, 26, 21, 36, 14, 10, 45, 12, 32, 48, 22, 7, 49, 41, 47, 17, 44, 39, 0, 9, 11, 24, 37, 40, 35, 42, 5, 13, 34, 43, 15, 30, 29, 27, 38, 1, 23, 2, 6, 16, 3, 33, 8, 18, 28, 4]",1673.399101715006
