Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[61, 59, 44, 90, 31, 10, 14, 16, 58, 73, 20, 71, 9, 83, 35, 98, 37, 23, 17, 78, 18, 74, 55, 79, 30, 88, 41, 68, 72, 49, 12, 32, 75, 94, 81, 1, 53, 39, 63, 43, 36, 4, 51, 77, 95, 29, 38, 84, 67, 80, 24, 66, 7, 91, 96, 3, 64, 25, 65, 69, 21, 93, 15, 87, 52, 89, 48, 5, 62, 0, 46, 92, 27, 57, 60, 50, 86, 56, 8, 6, 33, 28, 70, 40, 99, 47, 13, 2, 42, 45, 82, 54, 11, 26, 34, 85, 19, 76, 97, 22]",26518.61223259919,"[5, 48, 62, 76, 85, 26, 11, 84, 67, 80, 24, 50, 60, 66, 74, 3, 64, 25, 65, 69, 83, 58, 73, 20, 71, 9, 91, 7, 41, 1, 81, 94, 29, 28, 45, 2, 42, 33, 82, 54, 6, 8, 86, 68, 63, 39, 53, 43, 38, 95, 77, 51, 47, 13, 19, 61, 22, 97, 90, 35, 98, 37, 23, 17, 93, 78, 92, 56, 99, 70, 40, 34, 59, 44, 14, 16, 10, 31, 46, 89, 18, 52, 87, 15, 21, 96, 55, 79, 30, 88, 49, 4, 36, 32, 75, 12, 72, 57, 27, 0]",41380.222953112716,"[50, 86, 76, 59, 61, 34, 85, 26, 11, 19, 56, 8, 6, 54, 82, 33, 28, 45, 42, 2, 13, 70, 40, 99, 47, 29, 95, 77, 51, 4, 36, 32, 75, 12, 94, 81, 38, 84, 67, 80, 72, 49, 43, 1, 53, 39, 63, 68, 88, 41, 30, 79, 55, 96, 74, 7, 91, 0, 46, 62, 5, 48, 89, 52, 18, 3, 64, 25, 65, 69, 21, 15, 87, 93, 78, 17, 23, 37, 98, 35, 83, 9, 71, 20, 73, 58, 16, 14, 10, 31, 44, 90, 97, 22, 92, 27, 66, 57, 60, 24]",23502.792224981615
"[89, 48, 5, 62, 46, 97, 22, 76, 59, 61, 34, 85, 26, 11, 19, 6, 8, 67, 81, 94, 12, 75, 32, 36, 4, 95, 77, 51, 47, 99, 40, 70, 13, 29, 38, 72, 68, 90, 44, 31, 73, 20, 71, 83, 9, 0, 27, 57, 60, 80, 24, 50, 86, 56, 54, 82, 33, 45, 42, 2, 28, 84, 49, 43, 1, 63, 39, 53, 66, 92, 10, 14, 16, 58, 35, 98, 37, 23, 17, 78, 93, 21, 69, 15, 87, 52, 74, 91, 7, 41, 88, 30, 79, 55, 96, 25, 65, 64, 3, 18]",27854.286236966833,"[46, 41, 79, 7, 91, 89, 83, 9, 48, 18, 96, 3, 65, 69, 93, 23, 37, 71, 20, 73, 10, 34, 85, 26, 54, 82, 33, 45, 28, 49, 43, 67, 84, 8, 6, 56, 86, 50, 57, 27, 92, 90, 97, 22, 59, 61, 19, 11, 42, 2, 40, 70, 99, 13, 0, 87, 21, 15, 52, 66, 68, 39, 53, 63, 72, 80, 24, 60, 76, 44, 31, 62, 5, 74, 55, 30, 88, 1, 81, 94, 36, 4, 77, 95, 12, 75, 32, 51, 47, 29, 38, 25, 64, 78, 17, 98, 35, 58, 16, 14]",41709.660069792066,"[8, 6, 56, 76, 22, 97, 90, 46, 62, 5, 48, 89, 18, 74, 91, 0, 92, 27, 57, 66, 7, 41, 88, 30, 79, 55, 96, 3, 64, 25, 65, 69, 21, 93, 15, 87, 52, 78, 17, 23, 37, 98, 35, 83, 9, 71, 20, 73, 58, 16, 14, 10, 31, 44, 59, 61, 34, 85, 26, 19, 11, 54, 82, 33, 45, 42, 2, 28, 13, 70, 40, 99, 47, 29, 38, 95, 77, 51, 4, 36, 32, 75, 12, 94, 81, 1, 53, 39, 63, 68, 72, 43, 49, 84, 67, 80, 24, 60, 50, 86]",22370.268018380146
"[3, 64, 25, 65, 52, 78, 9, 71, 20, 73, 58, 46, 92, 27, 43, 49, 72, 68, 66, 0, 62, 5, 48, 89, 83, 35, 98, 37, 23, 17, 93, 87, 15, 21, 69, 18, 74, 91, 24, 80, 67, 84, 38, 29, 95, 77, 51, 4, 36, 32, 75, 12, 94, 81, 1, 53, 39, 63, 60, 76, 44, 14, 16, 10, 31, 90, 97, 22, 59, 61, 19, 85, 34, 26, 11, 42, 40, 70, 99, 47, 13, 2, 45, 28, 33, 82, 54, 6, 8, 56, 86, 50, 57, 7, 41, 88, 30, 79, 55, 96]",27979.346510050633,"[8, 51, 77, 95, 49, 72, 43, 1, 88, 55, 18, 52, 87, 78, 36, 4, 38, 50, 10, 14, 16, 20, 73, 58, 35, 98, 37, 83, 9, 71, 0, 27, 92, 46, 31, 90, 44, 42, 40, 70, 99, 54, 11, 26, 19, 56, 86, 24, 80, 60, 57, 62, 5, 48, 74, 96, 79, 30, 41, 7, 91, 89, 23, 17, 93, 15, 21, 69, 65, 25, 64, 3, 66, 28, 13, 47, 29, 67, 63, 53, 39, 68, 34, 85, 6, 84, 81, 94, 12, 75, 32, 2, 45, 33, 82, 61, 59, 22, 97, 76]",43923.22216416306,"[90, 46, 92, 57, 76, 59, 61, 19, 85, 34, 26, 11, 54, 82, 45, 42, 2, 40, 70, 99, 47, 51, 77, 95, 4, 36, 32, 75, 12, 94, 81, 43, 1, 53, 39, 63, 72, 49, 67, 84, 38, 29, 13, 28, 33, 6, 8, 56, 86, 50, 60, 24, 80, 68, 66, 27, 0, 71, 83, 9, 89, 48, 5, 62, 91, 7, 41, 88, 30, 79, 55, 96, 74, 18, 3, 64, 25, 65, 52, 69, 21, 93, 15, 87, 78, 17, 23, 37, 98, 35, 20, 73, 58, 16, 14, 10, 31, 44, 22, 97]",24025.17814505808
"[58, 16, 14, 10, 31, 44, 34, 85, 26, 11, 54, 82, 28, 13, 47, 51, 77, 95, 4, 36, 32, 75, 12, 94, 81, 43, 1, 53, 39, 63, 41, 88, 30, 79, 55, 3, 64, 25, 65, 18, 48, 62, 90, 76, 56, 8, 6, 33, 45, 42, 2, 40, 70, 99, 29, 38, 84, 67, 49, 72, 68, 66, 7, 91, 74, 96, 52, 69, 21, 93, 15, 87, 78, 83, 9, 46, 97, 22, 59, 61, 19, 86, 50, 24, 80, 60, 57, 27, 92, 0, 5, 89, 17, 23, 37, 98, 35, 71, 20, 73]",28343.91437128413,"[90, 31, 14, 16, 10, 74, 18, 52, 89, 46, 22, 59, 34, 26, 85, 61, 44, 58, 98, 37, 23, 83, 53, 1, 81, 94, 38, 8, 56, 6, 54, 82, 99, 40, 70, 42, 11, 76, 9, 78, 87, 93, 17, 35, 73, 20, 71, 41, 88, 30, 79, 55, 7, 91, 48, 5, 62, 0, 92, 27, 57, 60, 24, 50, 86, 33, 28, 4, 36, 32, 75, 12, 39, 96, 3, 64, 25, 65, 69, 21, 15, 19, 45, 2, 13, 47, 51, 77, 95, 29, 84, 67, 80, 68, 72, 49, 43, 63, 66, 97]",42384.69643663084,"[68, 53, 39, 63, 72, 49, 43, 1, 81, 94, 12, 75, 32, 36, 4, 77, 51, 47, 99, 70, 40, 13, 2, 42, 45, 33, 28, 29, 95, 38, 84, 67, 8, 6, 82, 54, 11, 19, 26, 85, 34, 61, 59, 76, 56, 86, 50, 24, 80, 60, 57, 46, 90, 97, 22, 44, 31, 10, 14, 16, 58, 73, 20, 71, 9, 83, 35, 98, 37, 23, 17, 78, 52, 87, 15, 21, 93, 69, 65, 25, 64, 3, 18, 74, 96, 55, 79, 30, 88, 41, 7, 91, 5, 48, 89, 62, 0, 92, 27, 66]",23474.740374518333
"[24, 80, 72, 49, 43, 63, 39, 7, 91, 89, 17, 23, 37, 98, 35, 9, 62, 0, 92, 27, 68, 67, 84, 45, 42, 2, 40, 70, 99, 47, 13, 28, 33, 82, 54, 11, 26, 34, 85, 19, 57, 66, 88, 30, 79, 41, 53, 1, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 38, 29, 8, 6, 56, 76, 44, 31, 10, 14, 16, 58, 73, 20, 71, 83, 78, 52, 87, 15, 93, 21, 69, 65, 25, 64, 3, 96, 55, 74, 18, 48, 5, 46, 90, 97, 22, 59, 61, 86, 50, 60]",28953.27826945497,"[39, 53, 43, 49, 72, 84, 38, 29, 11, 85, 26, 45, 51, 77, 32, 75, 12, 27, 0, 91, 62, 5, 48, 89, 78, 93, 87, 15, 21, 69, 65, 3, 74, 57, 60, 50, 56, 86, 24, 80, 68, 67, 33, 82, 54, 19, 61, 59, 17, 52, 18, 92, 70, 40, 76, 9, 83, 23, 37, 98, 35, 71, 16, 14, 31, 90, 22, 97, 7, 41, 88, 30, 79, 55, 25, 64, 96, 66, 1, 81, 94, 36, 4, 95, 46, 20, 73, 58, 10, 44, 34, 42, 2, 13, 99, 47, 28, 6, 8, 63]",46227.306421319074,"[63, 68, 67, 84, 72, 49, 43, 1, 81, 94, 12, 75, 32, 36, 4, 95, 38, 29, 77, 51, 47, 13, 99, 70, 40, 2, 42, 45, 28, 33, 82, 54, 11, 26, 85, 34, 61, 19, 56, 6, 8, 86, 50, 24, 80, 60, 57, 92, 27, 46, 97, 22, 76, 59, 44, 90, 31, 10, 14, 16, 58, 73, 20, 71, 9, 83, 35, 98, 37, 23, 17, 93, 21, 15, 87, 78, 89, 5, 48, 18, 52, 69, 65, 25, 64, 3, 74, 96, 55, 79, 30, 88, 41, 7, 91, 62, 0, 66, 53, 39]",23865.412080622184
"[19, 86, 50, 60, 24, 80, 67, 72, 68, 66, 0, 62, 5, 48, 89, 18, 52, 87, 15, 93, 21, 69, 65, 25, 64, 3, 96, 55, 74, 91, 27, 92, 90, 97, 22, 76, 56, 8, 6, 33, 45, 42, 2, 29, 38, 84, 49, 43, 63, 39, 57, 61, 59, 44, 31, 73, 20, 71, 9, 83, 78, 17, 23, 37, 98, 35, 58, 16, 14, 10, 46, 7, 41, 79, 30, 88, 53, 1, 81, 94, 12, 75, 32, 36, 4, 95, 77, 51, 47, 99, 40, 70, 13, 28, 82, 54, 11, 26, 34, 85]",28141.5260925438,"[34, 28, 13, 47, 29, 33, 6, 8, 38, 36, 4, 51, 77, 95, 84, 67, 43, 1, 53, 88, 3, 52, 17, 23, 37, 83, 71, 9, 78, 87, 15, 89, 48, 62, 46, 59, 61, 76, 7, 41, 79, 30, 66, 60, 50, 56, 19, 85, 26, 11, 42, 40, 70, 99, 2, 45, 82, 54, 86, 68, 63, 39, 55, 96, 64, 25, 65, 69, 21, 93, 98, 35, 58, 73, 20, 12, 32, 75, 94, 81, 49, 72, 27, 0, 5, 18, 74, 91, 92, 57, 80, 24, 97, 44, 14, 16, 10, 31, 90, 22]",40846.894546087686,"[70, 40, 99, 47, 51, 95, 77, 4, 36, 32, 75, 12, 94, 81, 38, 29, 28, 84, 67, 72, 49, 43, 1, 53, 39, 63, 68, 80, 24, 60, 57, 66, 27, 92, 91, 7, 41, 88, 30, 79, 55, 96, 74, 18, 3, 64, 25, 65, 69, 52, 89, 48, 5, 62, 0, 46, 20, 71, 9, 83, 78, 87, 15, 21, 93, 17, 23, 37, 98, 35, 58, 73, 16, 14, 10, 31, 44, 90, 97, 22, 59, 61, 76, 50, 86, 56, 8, 6, 11, 19, 85, 34, 26, 54, 82, 33, 45, 42, 2, 13]",23294.21080157431
"[94, 43, 49, 72, 68, 66, 48, 5, 62, 76, 56, 6, 82, 42, 13, 47, 99, 70, 40, 2, 45, 33, 8, 86, 50, 27, 91, 74, 18, 3, 64, 65, 25, 96, 55, 79, 30, 88, 41, 7, 0, 46, 10, 14, 16, 73, 20, 71, 83, 9, 92, 57, 60, 24, 80, 67, 84, 38, 95, 77, 51, 4, 36, 29, 28, 54, 11, 19, 26, 85, 34, 61, 59, 22, 44, 89, 78, 52, 87, 15, 69, 21, 93, 17, 23, 37, 98, 35, 58, 31, 90, 97, 63, 39, 53, 1, 81, 12, 32, 75]",31537.91645343896,"[60, 31, 10, 62, 30, 79, 65, 69, 15, 52, 39, 63, 68, 57, 0, 96, 3, 64, 25, 55, 54, 33, 28, 29, 38, 84, 50, 71, 37, 23, 17, 78, 18, 74, 89, 83, 9, 46, 56, 6, 8, 95, 12, 32, 75, 94, 1, 53, 66, 27, 92, 88, 41, 7, 91, 48, 5, 61, 34, 85, 26, 42, 2, 40, 70, 99, 47, 67, 72, 80, 24, 86, 19, 76, 22, 97, 90, 73, 20, 87, 21, 93, 98, 35, 58, 16, 14, 44, 59, 11, 82, 45, 13, 51, 77, 4, 36, 81, 43, 49]",46306.08411060685,"[40, 99, 47, 51, 77, 95, 4, 36, 32, 75, 12, 94, 81, 49, 72, 43, 1, 53, 39, 63, 68, 60, 24, 80, 67, 84, 38, 29, 33, 6, 8, 56, 86, 50, 57, 66, 27, 92, 0, 91, 74, 7, 41, 88, 30, 79, 55, 96, 3, 64, 25, 65, 18, 52, 87, 15, 69, 21, 93, 78, 17, 23, 37, 98, 35, 83, 9, 89, 48, 5, 62, 71, 20, 73, 58, 16, 14, 10, 46, 31, 44, 90, 97, 22, 76, 59, 61, 34, 85, 26, 19, 11, 54, 82, 28, 45, 42, 2, 13, 70]",23038.30829598719
"[92, 27, 57, 60, 86, 56, 8, 6, 11, 26, 85, 34, 61, 59, 22, 97, 90, 89, 15, 21, 69, 3, 96, 55, 30, 88, 63, 39, 53, 1, 43, 81, 94, 75, 32, 12, 49, 72, 80, 24, 28, 13, 70, 40, 99, 47, 51, 77, 95, 4, 36, 38, 50, 46, 9, 83, 78, 65, 64, 25, 79, 41, 7, 91, 62, 10, 16, 14, 31, 44, 76, 19, 54, 82, 33, 45, 42, 2, 29, 84, 67, 68, 66, 5, 48, 71, 20, 73, 58, 35, 98, 37, 23, 17, 93, 87, 52, 18, 74, 0]",32665.995572377913,"[55, 41, 7, 74, 18, 52, 62, 76, 19, 26, 85, 34, 61, 44, 90, 31, 14, 16, 58, 73, 20, 71, 46, 92, 27, 57, 60, 68, 63, 39, 48, 5, 0, 66, 72, 43, 49, 38, 95, 77, 51, 67, 88, 30, 25, 64, 79, 53, 1, 81, 94, 12, 84, 8, 59, 22, 97, 50, 24, 80, 2, 13, 47, 4, 36, 32, 75, 29, 28, 45, 33, 82, 54, 11, 6, 56, 89, 9, 83, 78, 87, 15, 93, 21, 69, 65, 3, 91, 86, 99, 70, 40, 42, 10, 35, 98, 37, 23, 17, 96]",45431.98035199332,"[49, 43, 1, 63, 39, 53, 88, 30, 79, 41, 7, 91, 74, 18, 55, 96, 3, 64, 25, 65, 69, 21, 93, 15, 87, 52, 78, 17, 23, 37, 98, 35, 71, 83, 9, 89, 48, 5, 62, 0, 20, 73, 58, 16, 14, 10, 31, 44, 22, 59, 61, 76, 97, 90, 46, 92, 27, 66, 57, 60, 24, 80, 68, 72, 67, 84, 50, 86, 8, 6, 56, 19, 85, 34, 26, 11, 54, 82, 33, 28, 45, 42, 2, 13, 70, 40, 99, 47, 51, 77, 95, 29, 38, 4, 36, 32, 75, 12, 94, 81]",23762.677521538484
"[57, 60, 72, 49, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 38, 84, 29, 47, 99, 40, 70, 13, 2, 42, 45, 28, 33, 6, 8, 76, 22, 97, 90, 31, 14, 16, 62, 91, 7, 41, 53, 39, 68, 80, 24, 50, 86, 56, 26, 85, 34, 61, 59, 44, 10, 58, 73, 20, 71, 9, 83, 35, 98, 37, 23, 17, 78, 89, 46, 19, 11, 54, 82, 67, 43, 1, 63, 66, 88, 30, 79, 55, 96, 3, 64, 25, 65, 69, 21, 93, 15, 87, 52, 18, 74, 48, 5, 0, 92, 27]",28574.905122893433,"[3, 96, 7, 68, 43, 49, 72, 80, 24, 60, 86, 76, 19, 11, 54, 82, 45, 33, 90, 9, 78, 18, 74, 63, 1, 81, 94, 36, 4, 51, 77, 95, 29, 47, 28, 34, 59, 61, 85, 26, 2, 13, 99, 70, 40, 42, 22, 97, 44, 31, 10, 14, 16, 73, 20, 46, 92, 57, 50, 56, 6, 8, 84, 38, 32, 75, 12, 67, 83, 37, 23, 17, 93, 87, 15, 21, 69, 65, 64, 52, 98, 35, 58, 71, 89, 55, 79, 30, 88, 41, 91, 48, 5, 62, 0, 27, 66, 39, 53, 25]",41748.37578979291,"[25, 65, 69, 21, 93, 15, 87, 52, 18, 74, 91, 0, 62, 5, 48, 89, 9, 78, 17, 23, 37, 98, 35, 83, 71, 20, 73, 58, 16, 14, 10, 31, 44, 22, 97, 90, 46, 92, 27, 57, 60, 68, 80, 24, 50, 86, 56, 76, 59, 61, 34, 85, 26, 11, 19, 6, 8, 82, 54, 33, 28, 45, 42, 2, 13, 70, 40, 99, 47, 51, 77, 29, 38, 95, 4, 36, 32, 75, 12, 94, 81, 1, 43, 49, 84, 67, 72, 63, 39, 53, 66, 7, 41, 88, 30, 79, 55, 96, 3, 64]",23274.688736670465
"[93, 5, 62, 0, 27, 57, 50, 86, 29, 38, 84, 67, 80, 24, 7, 91, 74, 18, 3, 64, 65, 25, 96, 55, 79, 30, 41, 88, 53, 39, 63, 60, 76, 22, 97, 90, 31, 14, 16, 46, 92, 66, 68, 72, 49, 43, 1, 81, 94, 12, 75, 32, 36, 4, 95, 77, 51, 47, 99, 40, 70, 13, 2, 42, 45, 28, 33, 82, 54, 11, 26, 34, 85, 19, 56, 8, 6, 61, 59, 44, 10, 58, 73, 20, 71, 83, 9, 48, 89, 52, 78, 23, 37, 98, 35, 17, 87, 15, 69, 21]",28638.99947925307,"[0, 66, 63, 72, 67, 11, 26, 34, 61, 46, 91, 7, 1, 81, 94, 12, 75, 32, 60, 35, 98, 37, 88, 53, 39, 43, 49, 77, 95, 38, 68, 55, 96, 74, 48, 56, 6, 8, 86, 50, 15, 87, 93, 21, 69, 65, 25, 64, 3, 47, 99, 70, 40, 13, 79, 30, 41, 14, 16, 9, 89, 18, 52, 78, 17, 23, 90, 97, 76, 54, 82, 45, 2, 42, 85, 22, 31, 73, 58, 83, 71, 20, 10, 44, 59, 19, 33, 28, 29, 51, 4, 36, 84, 80, 24, 57, 27, 92, 62, 5]",53019.01282442785,"[93, 17, 23, 37, 98, 35, 83, 9, 71, 20, 73, 58, 16, 14, 10, 31, 44, 59, 22, 97, 90, 46, 92, 27, 66, 57, 80, 24, 60, 50, 86, 76, 61, 34, 85, 26, 11, 19, 56, 8, 6, 54, 82, 33, 84, 38, 29, 28, 45, 42, 2, 13, 70, 40, 99, 47, 51, 77, 95, 4, 36, 32, 75, 12, 94, 81, 1, 43, 49, 67, 72, 68, 63, 39, 53, 88, 30, 79, 41, 7, 55, 96, 3, 64, 25, 65, 52, 18, 74, 91, 0, 62, 5, 48, 89, 78, 87, 15, 69, 21]",23906.644140583427
