Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[23, 45, 48, 18, 98, 13, 68, 2, 72, 58, 20, 69, 75, 22, 1, 79, 46, 30, 66, 12, 26, 39, 11, 17, 28, 36, 15, 50, 62, 43, 65, 92, 3, 59, 76, 29, 67, 34, 71, 70, 27, 87, 97, 57, 33, 89, 24, 16, 7, 74, 53, 5, 64, 84, 52, 0, 14, 78, 19, 63, 54, 41, 21, 38, 37, 55, 42, 4, 85, 82, 61, 49, 94, 93, 90, 88, 40, 73, 56, 35, 99, 32, 44, 80, 96, 47, 83, 10, 51, 86, 95, 9, 91, 8, 77, 81, 6, 25, 60, 31]",28935.901200909022,"[25, 6, 81, 77, 8, 15, 50, 62, 43, 65, 18, 13, 3, 66, 46, 22, 90, 75, 69, 20, 67, 29, 88, 40, 59, 45, 31, 23, 52, 0, 84, 14, 54, 41, 16, 97, 38, 71, 1, 34, 35, 56, 73, 68, 58, 2, 72, 99, 44, 10, 51, 83, 47, 36, 48, 92, 98, 9, 91, 95, 86, 96, 80, 32, 76, 74, 7, 21, 82, 61, 79, 64, 30, 5, 53, 70, 37, 55, 42, 4, 85, 93, 94, 49, 27, 87, 57, 33, 89, 24, 19, 63, 78, 12, 26, 39, 11, 17, 28, 60]",36625.78628279192,"[59, 13, 98, 92, 11, 45, 23, 31, 60, 25, 6, 81, 77, 8, 50, 62, 43, 83, 10, 51, 86, 95, 47, 65, 15, 36, 28, 17, 48, 18, 91, 9, 44, 96, 80, 32, 99, 35, 56, 73, 68, 2, 72, 58, 40, 88, 20, 29, 76, 64, 79, 67, 1, 34, 22, 69, 75, 90, 93, 94, 49, 85, 4, 42, 55, 70, 37, 27, 87, 97, 57, 33, 89, 24, 16, 38, 71, 82, 61, 21, 7, 74, 53, 5, 46, 30, 66, 54, 41, 19, 63, 78, 12, 14, 26, 84, 0, 52, 39, 3]",23490.131263606643
"[54, 63, 19, 41, 74, 21, 27, 37, 70, 49, 20, 88, 40, 58, 72, 2, 68, 73, 99, 32, 44, 80, 96, 95, 86, 51, 10, 83, 47, 91, 9, 35, 56, 13, 98, 18, 48, 17, 28, 36, 60, 31, 23, 45, 11, 39, 26, 78, 66, 30, 46, 5, 53, 61, 82, 71, 55, 42, 4, 85, 90, 67, 29, 76, 59, 3, 92, 65, 43, 62, 50, 15, 8, 77, 81, 6, 25, 52, 0, 84, 14, 12, 64, 79, 1, 34, 22, 69, 75, 93, 94, 38, 87, 97, 57, 33, 89, 24, 16, 7]",27259.188551338848,"[23, 31, 45, 26, 12, 41, 57, 97, 87, 27, 55, 42, 4, 85, 94, 93, 49, 71, 70, 37, 38, 74, 46, 66, 54, 63, 19, 78, 11, 48, 17, 65, 83, 10, 51, 86, 95, 47, 43, 62, 50, 15, 36, 28, 92, 80, 96, 68, 58, 88, 22, 34, 1, 67, 29, 40, 72, 2, 76, 79, 64, 5, 53, 61, 82, 90, 75, 69, 20, 56, 35, 9, 91, 18, 98, 13, 3, 39, 84, 0, 52, 60, 25, 6, 81, 77, 8, 44, 32, 99, 73, 59, 16, 24, 33, 89, 7, 21, 30, 14]",36394.73189305,"[91, 44, 35, 13, 92, 3, 59, 76, 40, 29, 67, 34, 1, 53, 74, 5, 79, 64, 12, 26, 11, 39, 45, 48, 17, 28, 36, 15, 62, 43, 50, 8, 77, 81, 6, 25, 60, 31, 23, 52, 0, 84, 14, 78, 63, 19, 41, 54, 66, 30, 46, 7, 21, 82, 61, 49, 71, 38, 97, 16, 24, 89, 33, 57, 87, 27, 37, 70, 55, 42, 4, 85, 94, 93, 90, 75, 69, 22, 20, 88, 58, 72, 2, 68, 73, 56, 99, 32, 80, 96, 95, 86, 51, 10, 83, 47, 65, 18, 98, 9]",24842.479446287067
"[45, 92, 3, 59, 29, 22, 49, 85, 4, 42, 94, 93, 90, 75, 69, 20, 88, 40, 13, 98, 18, 91, 9, 35, 56, 68, 2, 72, 58, 76, 79, 5, 74, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 38, 37, 55, 70, 71, 82, 61, 53, 64, 84, 0, 52, 23, 31, 60, 36, 28, 17, 48, 11, 39, 26, 14, 78, 19, 63, 66, 46, 67, 34, 1, 30, 41, 54, 12, 73, 99, 32, 44, 80, 96, 83, 10, 51, 86, 95, 47, 65, 43, 62, 50, 15, 8, 77, 81, 6, 25]",28995.61994341293,"[64, 45, 25, 6, 81, 77, 8, 65, 18, 17, 23, 31, 60, 91, 9, 35, 56, 68, 40, 90, 85, 4, 42, 55, 70, 21, 0, 52, 84, 12, 30, 46, 5, 53, 79, 59, 3, 92, 48, 11, 39, 26, 78, 19, 63, 54, 66, 98, 10, 51, 86, 95, 96, 80, 76, 61, 82, 87, 97, 57, 33, 89, 24, 16, 71, 49, 94, 93, 20, 73, 44, 32, 99, 72, 2, 58, 88, 69, 75, 22, 34, 1, 67, 29, 13, 47, 83, 43, 62, 50, 15, 36, 28, 14, 41, 7, 27, 37, 38, 74]",43219.45292173947,"[85, 94, 49, 71, 82, 61, 90, 93, 75, 69, 20, 88, 76, 79, 64, 30, 66, 54, 41, 19, 63, 78, 12, 14, 26, 84, 0, 52, 39, 11, 45, 28, 23, 31, 60, 25, 6, 81, 77, 8, 36, 15, 50, 62, 43, 83, 10, 51, 86, 95, 47, 65, 18, 91, 98, 17, 48, 92, 3, 59, 13, 9, 35, 56, 44, 96, 80, 32, 99, 73, 68, 2, 72, 58, 40, 29, 67, 22, 34, 1, 53, 5, 46, 74, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 38, 37, 70, 55, 42, 4]",23445.145384473664
"[26, 39, 45, 60, 25, 6, 81, 77, 8, 31, 23, 52, 0, 11, 92, 18, 91, 9, 98, 3, 64, 30, 46, 7, 16, 24, 89, 33, 57, 97, 87, 21, 74, 5, 76, 68, 2, 72, 58, 40, 88, 20, 69, 75, 22, 67, 29, 66, 63, 19, 12, 59, 13, 35, 56, 73, 99, 32, 44, 80, 96, 95, 86, 51, 10, 83, 47, 65, 43, 62, 50, 15, 36, 28, 17, 48, 84, 14, 78, 54, 41, 53, 61, 82, 71, 38, 27, 37, 70, 55, 42, 4, 85, 49, 94, 93, 90, 34, 1, 79]",29307.179153714496,"[5, 74, 21, 7, 16, 24, 61, 82, 38, 87, 27, 37, 71, 53, 44, 10, 51, 83, 47, 65, 3, 59, 30, 46, 66, 39, 36, 15, 50, 62, 43, 13, 29, 67, 22, 90, 49, 70, 55, 42, 4, 85, 94, 93, 40, 92, 48, 17, 11, 12, 54, 41, 89, 33, 57, 97, 20, 88, 58, 80, 96, 86, 95, 98, 26, 14, 78, 63, 19, 0, 6, 81, 77, 8, 25, 60, 45, 69, 75, 34, 1, 79, 64, 84, 52, 23, 31, 28, 18, 91, 9, 35, 56, 73, 68, 2, 72, 99, 32, 76]",46582.58946929776,"[8, 36, 15, 50, 62, 43, 65, 47, 83, 10, 51, 86, 95, 96, 80, 44, 32, 99, 73, 56, 35, 13, 98, 9, 91, 18, 92, 3, 59, 68, 2, 72, 58, 40, 88, 76, 29, 67, 22, 20, 69, 75, 90, 93, 94, 49, 85, 4, 42, 55, 37, 70, 38, 27, 87, 97, 57, 33, 89, 24, 16, 7, 21, 71, 82, 61, 34, 1, 53, 74, 5, 79, 64, 30, 46, 66, 54, 41, 19, 63, 78, 12, 14, 26, 84, 0, 52, 39, 11, 45, 48, 17, 28, 60, 23, 31, 25, 6, 81, 77]",22604.98778853577
"[49, 22, 40, 68, 99, 32, 44, 80, 96, 86, 95, 91, 98, 92, 11, 52, 0, 84, 14, 12, 30, 74, 21, 87, 97, 57, 33, 89, 24, 16, 7, 41, 54, 66, 64, 79, 76, 59, 3, 18, 47, 83, 10, 51, 43, 15, 60, 25, 31, 23, 45, 39, 26, 78, 19, 63, 46, 5, 53, 82, 61, 1, 34, 67, 29, 58, 72, 2, 73, 56, 35, 48, 17, 28, 36, 8, 77, 6, 81, 50, 62, 65, 9, 13, 88, 20, 69, 75, 90, 93, 94, 85, 4, 42, 55, 70, 37, 27, 38, 71]",30163.29181208442,"[58, 68, 99, 9, 17, 28, 36, 25, 6, 81, 77, 8, 15, 48, 11, 39, 26, 12, 64, 79, 76, 2, 72, 88, 93, 42, 4, 49, 45, 60, 31, 23, 84, 14, 30, 1, 34, 67, 22, 20, 29, 3, 92, 98, 91, 18, 65, 47, 83, 43, 62, 50, 52, 0, 78, 41, 24, 16, 7, 5, 73, 56, 35, 13, 59, 21, 89, 33, 57, 97, 87, 27, 38, 82, 61, 74, 54, 19, 63, 66, 46, 53, 75, 69, 44, 10, 51, 86, 95, 96, 80, 32, 71, 70, 37, 55, 85, 94, 90, 40]",45567.326023210924,"[59, 68, 2, 72, 58, 88, 20, 22, 34, 1, 67, 29, 40, 76, 79, 64, 12, 66, 30, 46, 5, 53, 74, 7, 21, 82, 61, 71, 49, 90, 75, 69, 93, 94, 85, 4, 42, 55, 70, 37, 38, 27, 87, 97, 57, 33, 89, 24, 16, 41, 54, 63, 19, 78, 14, 26, 84, 0, 52, 39, 11, 45, 23, 31, 60, 25, 6, 81, 77, 8, 36, 28, 17, 15, 50, 62, 43, 65, 47, 83, 10, 51, 86, 95, 96, 80, 44, 32, 99, 73, 56, 35, 13, 9, 91, 98, 18, 48, 92, 3]",22492.081642533296
"[88, 22, 49, 70, 37, 55, 42, 4, 85, 94, 93, 90, 75, 69, 20, 40, 13, 98, 18, 43, 62, 50, 15, 8, 81, 77, 6, 25, 60, 28, 45, 39, 26, 12, 30, 46, 5, 53, 74, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 38, 71, 82, 61, 1, 34, 67, 29, 59, 3, 92, 11, 52, 0, 84, 14, 78, 63, 19, 41, 54, 66, 64, 79, 76, 56, 35, 44, 80, 96, 95, 86, 51, 10, 83, 47, 65, 48, 17, 23, 31, 36, 91, 9, 32, 99, 73, 68, 2, 72, 58]",27420.325158784934,"[14, 26, 84, 0, 52, 39, 11, 23, 31, 45, 28, 17, 36, 15, 50, 62, 92, 76, 90, 93, 94, 85, 42, 4, 55, 82, 61, 53, 1, 34, 67, 29, 68, 56, 35, 99, 73, 88, 69, 75, 20, 47, 10, 83, 43, 65, 18, 98, 13, 3, 59, 22, 49, 38, 97, 24, 89, 33, 57, 87, 27, 37, 70, 71, 5, 79, 64, 30, 46, 66, 63, 19, 54, 41, 16, 7, 21, 74, 78, 91, 95, 86, 51, 8, 77, 81, 6, 25, 60, 48, 9, 44, 96, 80, 32, 72, 2, 58, 40, 12]",38806.40886163485,"[92, 3, 59, 76, 11, 39, 52, 0, 84, 14, 26, 78, 63, 19, 41, 54, 74, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 37, 55, 42, 4, 70, 38, 71, 82, 61, 49, 85, 94, 93, 90, 75, 69, 22, 67, 34, 1, 53, 5, 46, 30, 66, 12, 64, 79, 29, 20, 88, 40, 58, 72, 2, 68, 13, 35, 56, 73, 99, 32, 44, 80, 96, 95, 86, 51, 10, 83, 47, 43, 62, 50, 81, 77, 8, 36, 15, 65, 91, 9, 98, 18, 48, 17, 28, 60, 25, 6, 31, 23, 45]",24689.96042252519
"[81, 6, 25, 60, 17, 48, 92, 3, 40, 88, 20, 69, 75, 90, 93, 94, 42, 4, 85, 49, 22, 76, 11, 28, 62, 43, 47, 95, 86, 96, 80, 44, 32, 99, 35, 56, 73, 68, 2, 72, 58, 29, 67, 34, 1, 61, 82, 71, 38, 37, 70, 55, 27, 87, 97, 57, 33, 89, 24, 16, 7, 21, 74, 53, 5, 46, 66, 12, 26, 39, 45, 15, 50, 51, 10, 83, 65, 36, 31, 23, 52, 0, 84, 14, 78, 63, 19, 41, 54, 30, 64, 79, 59, 13, 98, 9, 91, 18, 8, 77]",28838.307347466536,"[32, 56, 73, 29, 67, 34, 22, 69, 20, 72, 2, 61, 82, 71, 38, 33, 89, 24, 16, 7, 66, 30, 59, 3, 92, 11, 52, 0, 12, 64, 79, 1, 49, 4, 42, 55, 48, 15, 62, 43, 44, 80, 96, 86, 95, 47, 65, 18, 98, 91, 9, 35, 13, 76, 53, 5, 46, 54, 41, 19, 63, 78, 14, 23, 31, 25, 60, 28, 17, 39, 26, 84, 45, 36, 8, 77, 6, 81, 50, 51, 10, 83, 74, 21, 57, 97, 87, 27, 37, 70, 85, 94, 93, 90, 75, 88, 40, 58, 68, 99]",40362.368990387404,"[51, 86, 95, 65, 62, 15, 36, 60, 28, 17, 48, 11, 92, 3, 13, 98, 18, 91, 9, 44, 96, 80, 32, 99, 35, 56, 73, 68, 59, 76, 79, 1, 34, 67, 29, 40, 58, 2, 72, 88, 20, 22, 69, 75, 93, 90, 94, 49, 61, 82, 71, 85, 4, 42, 55, 70, 37, 38, 27, 87, 97, 57, 33, 89, 24, 16, 7, 21, 74, 53, 5, 41, 54, 19, 63, 66, 46, 30, 64, 12, 78, 14, 26, 84, 0, 52, 39, 45, 23, 31, 25, 6, 81, 77, 8, 50, 43, 47, 83, 10]",23078.81620743434
"[86, 95, 96, 80, 73, 68, 76, 79, 53, 5, 64, 14, 84, 0, 52, 45, 28, 17, 48, 92, 3, 59, 78, 19, 63, 54, 41, 74, 82, 61, 71, 49, 22, 20, 88, 72, 2, 58, 40, 29, 67, 34, 1, 90, 69, 75, 93, 94, 85, 4, 42, 55, 70, 37, 38, 27, 87, 97, 57, 33, 89, 24, 16, 7, 21, 46, 30, 66, 12, 26, 39, 11, 13, 35, 56, 99, 32, 44, 9, 91, 98, 18, 36, 60, 23, 31, 25, 6, 81, 77, 8, 15, 50, 62, 43, 65, 47, 83, 10, 51]",25979.29098977384,"[43, 50, 8, 77, 81, 6, 31, 26, 78, 19, 63, 66, 30, 5, 53, 90, 22, 39, 45, 11, 3, 59, 13, 92, 36, 60, 25, 15, 62, 65, 18, 91, 35, 56, 99, 68, 67, 34, 1, 79, 64, 12, 14, 84, 0, 52, 23, 28, 17, 48, 98, 9, 44, 80, 32, 76, 97, 87, 27, 4, 42, 55, 57, 33, 89, 24, 16, 7, 29, 40, 58, 2, 72, 88, 20, 69, 75, 93, 94, 85, 49, 61, 74, 46, 54, 41, 21, 38, 37, 70, 71, 82, 73, 96, 95, 86, 51, 10, 83, 47]",37611.25494991514,"[91, 9, 13, 59, 3, 92, 48, 28, 17, 36, 60, 8, 77, 81, 6, 25, 31, 23, 45, 11, 39, 52, 0, 84, 26, 14, 78, 12, 64, 30, 46, 66, 63, 19, 54, 41, 74, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 37, 38, 70, 55, 42, 4, 85, 71, 82, 61, 49, 94, 93, 90, 75, 69, 22, 20, 29, 67, 34, 1, 53, 5, 79, 76, 40, 88, 58, 72, 2, 68, 73, 56, 35, 99, 32, 44, 80, 96, 95, 86, 51, 10, 83, 47, 43, 50, 15, 62, 65, 18, 98]",22154.645420552395
"[93, 90, 75, 69, 22, 67, 29, 40, 68, 73, 99, 32, 9, 18, 36, 28, 17, 48, 11, 39, 26, 12, 64, 79, 76, 59, 3, 92, 47, 83, 10, 51, 86, 95, 96, 80, 44, 56, 35, 13, 98, 91, 65, 43, 62, 50, 15, 8, 77, 81, 6, 25, 60, 31, 23, 45, 2, 72, 58, 88, 20, 34, 1, 61, 82, 71, 38, 27, 87, 97, 57, 33, 89, 24, 16, 7, 74, 53, 5, 46, 30, 66, 78, 14, 84, 52, 0, 19, 63, 54, 41, 21, 70, 37, 55, 42, 4, 85, 49, 94]",26921.75062575236,"[79, 76, 29, 20, 69, 75, 93, 85, 71, 21, 26, 39, 36, 15, 50, 62, 43, 44, 80, 32, 94, 42, 4, 55, 82, 61, 60, 25, 6, 81, 77, 8, 18, 91, 9, 99, 35, 13, 5, 53, 1, 67, 88, 96, 95, 86, 51, 10, 83, 47, 65, 28, 17, 48, 3, 58, 72, 2, 68, 73, 56, 98, 92, 52, 0, 84, 34, 22, 90, 49, 74, 46, 30, 66, 64, 12, 78, 63, 19, 14, 23, 31, 45, 11, 59, 40, 70, 37, 38, 27, 87, 97, 57, 33, 89, 24, 16, 7, 41, 54]",42846.96313679301,"[20, 22, 34, 1, 67, 29, 79, 76, 40, 88, 58, 72, 2, 68, 73, 56, 35, 99, 32, 44, 80, 96, 95, 86, 51, 10, 83, 47, 65, 43, 62, 50, 15, 8, 77, 81, 6, 25, 60, 31, 23, 45, 28, 36, 17, 48, 92, 98, 18, 91, 9, 13, 59, 3, 11, 39, 52, 0, 84, 26, 14, 78, 12, 64, 30, 66, 63, 19, 41, 54, 46, 5, 53, 74, 82, 61, 49, 71, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 38, 37, 70, 55, 42, 4, 85, 94, 93, 90, 75, 69]",22146.070253712114
"[63, 19, 78, 14, 84, 48, 65, 83, 51, 10, 91, 98, 13, 40, 29, 67, 1, 34, 22, 90, 94, 85, 4, 42, 55, 37, 70, 41, 54, 12, 26, 39, 11, 17, 28, 45, 0, 52, 23, 31, 8, 77, 81, 6, 25, 60, 36, 15, 50, 62, 43, 47, 95, 86, 96, 80, 44, 32, 99, 73, 68, 76, 79, 5, 53, 74, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 38, 71, 82, 61, 49, 93, 75, 69, 20, 88, 58, 72, 2, 3, 92, 18, 9, 35, 56, 59, 64, 30, 46, 66]",29393.805529627618,"[90, 61, 21, 74, 5, 53, 82, 38, 57, 33, 89, 24, 41, 54, 63, 19, 78, 45, 28, 36, 8, 77, 81, 6, 14, 12, 26, 23, 31, 25, 60, 17, 48, 15, 50, 62, 43, 47, 83, 95, 80, 44, 9, 98, 92, 11, 52, 0, 84, 39, 13, 56, 73, 67, 34, 1, 7, 16, 97, 87, 27, 37, 70, 55, 42, 4, 85, 71, 49, 94, 93, 75, 69, 20, 96, 86, 51, 10, 65, 18, 91, 35, 32, 99, 72, 2, 58, 40, 29, 79, 30, 46, 66, 64, 76, 59, 3, 68, 88, 22]",36512.80561222814,"[62, 50, 60, 8, 77, 81, 6, 25, 31, 23, 52, 0, 84, 26, 39, 11, 45, 48, 92, 3, 59, 76, 79, 64, 30, 46, 66, 78, 12, 14, 19, 63, 54, 41, 53, 1, 5, 74, 21, 7, 16, 24, 89, 33, 57, 97, 87, 27, 37, 38, 82, 61, 71, 70, 55, 42, 4, 85, 49, 94, 93, 90, 75, 69, 20, 22, 34, 67, 29, 88, 40, 58, 72, 2, 68, 73, 56, 13, 98, 91, 9, 35, 99, 32, 44, 80, 96, 95, 86, 51, 10, 83, 47, 43, 65, 18, 17, 28, 36, 15]",24069.11507006136
