Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[61, 34, 29, 99, 1, 47, 91, 2, 82, 39, 5, 58, 63, 42, 76, 53, 90, 14, 83, 26, 0, 49, 93, 96, 31, 33, 80, 79, 75, 6, 74, 66, 35, 73, 45, 23, 87, 12, 78, 40, 72, 38, 70, 3, 92, 43, 59, 52, 4, 86, 25, 8, 19, 24, 17, 84, 15, 62, 68, 51, 7, 65, 37, 22, 28, 57, 21, 88, 10, 89, 16, 97, 48, 69, 41, 60, 71, 56, 30, 98, 77, 64, 85, 95, 13, 67, 44, 32, 81, 46, 11, 27, 20, 55, 94, 9, 54, 18, 50, 36]",29028.074879670705,"[46, 27, 11, 81, 62, 40, 87, 78, 12, 16, 89, 88, 41, 21, 97, 96, 31, 93, 49, 0, 70, 3, 52, 4, 8, 94, 55, 20, 9, 19, 24, 5, 39, 82, 25, 86, 54, 2, 10, 48, 69, 22, 45, 64, 32, 44, 98, 30, 56, 71, 60, 73, 6, 74, 66, 35, 28, 57, 92, 34, 50, 36, 18, 99, 29, 1, 47, 91, 61, 59, 43, 42, 38, 72, 90, 53, 15, 95, 85, 13, 67, 77, 79, 75, 68, 14, 83, 23, 26, 51, 7, 65, 37, 33, 80, 76, 63, 58, 84, 17]",35458.49854089995,"[57, 28, 35, 66, 74, 6, 73, 60, 68, 83, 45, 51, 7, 65, 80, 33, 37, 22, 41, 21, 88, 69, 48, 97, 96, 31, 93, 16, 89, 10, 49, 0, 26, 23, 87, 12, 78, 40, 72, 38, 70, 3, 92, 43, 59, 52, 61, 34, 50, 29, 99, 1, 47, 36, 18, 91, 86, 25, 54, 4, 2, 82, 39, 5, 17, 84, 58, 63, 42, 76, 53, 90, 14, 62, 15, 95, 85, 64, 77, 79, 75, 71, 56, 30, 98, 44, 32, 67, 13, 81, 24, 19, 8, 9, 94, 55, 20, 46, 11, 27]",22800.451105304288
"[88, 69, 48, 97, 96, 31, 93, 49, 26, 23, 40, 72, 92, 59, 61, 36, 18, 50, 34, 29, 99, 1, 47, 91, 42, 38, 83, 80, 33, 16, 89, 10, 37, 65, 7, 51, 14, 90, 53, 15, 85, 64, 98, 30, 56, 71, 6, 74, 66, 35, 28, 57, 21, 41, 22, 45, 68, 62, 76, 63, 58, 5, 39, 82, 2, 54, 86, 25, 17, 84, 95, 60, 73, 75, 79, 77, 44, 32, 67, 13, 81, 24, 19, 46, 11, 27, 20, 55, 94, 9, 8, 4, 52, 43, 3, 70, 87, 78, 12, 0]",30779.164932222964,"[25, 86, 18, 36, 4, 2, 82, 39, 17, 79, 75, 60, 28, 57, 21, 41, 45, 76, 63, 5, 94, 55, 19, 24, 42, 90, 53, 14, 83, 40, 23, 26, 97, 48, 69, 38, 3, 43, 92, 70, 72, 78, 12, 0, 49, 16, 89, 88, 10, 22, 7, 51, 65, 37, 80, 33, 93, 96, 31, 87, 59, 34, 50, 61, 52, 58, 84, 77, 30, 98, 91, 47, 1, 29, 99, 54, 8, 9, 20, 46, 81, 32, 67, 13, 64, 85, 95, 15, 62, 68, 73, 35, 66, 74, 6, 71, 56, 44, 11, 27]",38650.93025755286,"[57, 28, 35, 66, 74, 6, 73, 60, 75, 79, 71, 56, 30, 77, 98, 44, 32, 67, 13, 64, 85, 95, 84, 17, 5, 82, 4, 52, 2, 39, 58, 63, 15, 62, 53, 14, 68, 45, 51, 7, 65, 37, 22, 41, 21, 69, 48, 97, 88, 10, 89, 16, 96, 31, 93, 49, 0, 33, 80, 26, 23, 87, 12, 78, 40, 83, 72, 38, 90, 76, 42, 70, 3, 92, 43, 59, 61, 36, 18, 50, 34, 29, 99, 1, 47, 91, 86, 25, 54, 8, 9, 19, 24, 81, 11, 27, 46, 20, 55, 94]",22023.98052044298
"[50, 1, 47, 91, 86, 25, 54, 2, 82, 39, 58, 15, 62, 14, 83, 87, 78, 12, 80, 33, 37, 22, 41, 69, 48, 97, 96, 31, 93, 16, 89, 10, 65, 7, 51, 45, 68, 13, 67, 32, 44, 98, 30, 56, 71, 77, 85, 95, 84, 17, 24, 19, 5, 63, 76, 53, 90, 42, 3, 43, 92, 70, 38, 72, 40, 23, 26, 0, 49, 88, 21, 57, 28, 35, 66, 74, 6, 73, 60, 75, 79, 64, 81, 46, 11, 27, 20, 55, 94, 9, 8, 4, 52, 59, 61, 34, 29, 99, 18, 36]",26438.88763068821,"[66, 74, 6, 8, 25, 86, 54, 4, 2, 82, 39, 95, 85, 64, 98, 44, 81, 20, 94, 55, 27, 11, 46, 9, 91, 47, 1, 18, 22, 41, 69, 48, 97, 96, 31, 93, 16, 89, 49, 0, 33, 80, 72, 38, 42, 5, 19, 24, 58, 63, 76, 53, 90, 3, 43, 59, 92, 70, 23, 26, 10, 88, 21, 57, 28, 35, 7, 65, 37, 12, 78, 87, 40, 62, 15, 84, 17, 13, 67, 32, 68, 14, 83, 51, 45, 75, 79, 71, 56, 30, 77, 52, 61, 36, 50, 99, 29, 34, 60, 73]",37581.14884001952,"[71, 56, 30, 98, 44, 77, 79, 75, 68, 14, 62, 53, 90, 76, 15, 95, 85, 64, 13, 67, 32, 81, 84, 63, 58, 39, 2, 82, 5, 17, 24, 19, 46, 11, 27, 55, 94, 20, 9, 8, 54, 25, 86, 91, 47, 1, 29, 99, 18, 36, 50, 34, 61, 4, 52, 59, 43, 92, 3, 70, 42, 38, 72, 83, 40, 78, 12, 87, 23, 26, 0, 49, 33, 80, 37, 65, 7, 51, 45, 60, 73, 6, 74, 66, 35, 28, 57, 21, 41, 22, 10, 89, 16, 93, 31, 96, 97, 48, 69, 88]",21796.82634490474
"[85, 95, 84, 2, 4, 18, 50, 36, 61, 92, 70, 38, 83, 33, 89, 16, 96, 31, 93, 14, 62, 63, 5, 9, 94, 55, 20, 27, 11, 46, 81, 64, 77, 79, 75, 22, 41, 21, 69, 48, 97, 88, 10, 49, 0, 26, 23, 72, 3, 52, 91, 47, 1, 99, 29, 34, 59, 43, 42, 76, 53, 90, 40, 87, 78, 12, 80, 37, 65, 7, 51, 45, 71, 56, 30, 98, 44, 32, 67, 13, 17, 24, 19, 8, 25, 86, 54, 82, 39, 58, 15, 68, 6, 74, 66, 35, 28, 57, 73, 60]",33905.28643235842,"[78, 72, 38, 70, 92, 59, 43, 3, 42, 63, 58, 39, 82, 8, 54, 18, 99, 1, 47, 91, 27, 11, 81, 32, 44, 98, 6, 35, 28, 57, 21, 22, 37, 80, 23, 40, 83, 14, 90, 76, 5, 24, 46, 20, 55, 94, 86, 25, 9, 19, 64, 75, 60, 73, 74, 66, 41, 88, 10, 89, 93, 16, 69, 48, 97, 96, 31, 0, 12, 52, 61, 36, 50, 29, 34, 4, 2, 95, 85, 67, 13, 17, 84, 15, 53, 62, 68, 79, 77, 30, 56, 71, 45, 51, 7, 65, 33, 49, 26, 87]",33856.230750758565,"[27, 11, 46, 20, 55, 94, 25, 86, 54, 8, 9, 19, 24, 81, 17, 84, 58, 5, 39, 82, 2, 4, 91, 47, 1, 99, 29, 34, 50, 18, 36, 61, 52, 59, 43, 92, 3, 63, 95, 85, 15, 62, 53, 90, 76, 42, 70, 38, 72, 40, 83, 14, 68, 75, 79, 77, 64, 13, 67, 32, 44, 98, 30, 56, 71, 6, 60, 73, 74, 66, 35, 28, 57, 21, 41, 22, 7, 45, 51, 65, 37, 33, 80, 26, 23, 87, 78, 12, 0, 49, 10, 89, 16, 93, 31, 96, 97, 48, 69, 88]",21778.68755322726
"[43, 52, 4, 2, 82, 39, 5, 8, 54, 25, 86, 91, 47, 1, 99, 29, 34, 50, 18, 36, 61, 59, 92, 70, 38, 72, 40, 83, 14, 68, 95, 85, 64, 77, 79, 75, 45, 51, 7, 65, 37, 33, 80, 26, 23, 87, 78, 12, 0, 49, 10, 21, 57, 28, 41, 88, 89, 16, 93, 31, 96, 97, 48, 69, 22, 60, 73, 35, 66, 74, 6, 71, 56, 30, 98, 44, 32, 67, 13, 81, 46, 11, 27, 20, 55, 94, 9, 19, 24, 17, 84, 58, 63, 15, 62, 53, 90, 76, 42, 3]",24585.748844710477,"[35, 28, 57, 21, 69, 16, 93, 89, 88, 41, 73, 60, 71, 56, 77, 64, 85, 95, 83, 49, 0, 26, 23, 40, 70, 3, 42, 68, 45, 22, 10, 31, 96, 97, 48, 33, 80, 58, 82, 4, 18, 91, 54, 27, 11, 67, 30, 98, 44, 32, 55, 94, 20, 13, 79, 75, 84, 39, 5, 8, 25, 86, 47, 1, 99, 29, 34, 52, 2, 63, 76, 87, 12, 78, 72, 38, 90, 53, 14, 37, 65, 7, 51, 15, 17, 81, 46, 9, 19, 24, 36, 50, 61, 59, 43, 92, 62, 6, 74, 66]",41422.00666658546,"[69, 48, 97, 96, 31, 93, 16, 89, 88, 10, 22, 41, 21, 57, 28, 35, 66, 74, 6, 73, 60, 45, 51, 7, 65, 37, 80, 33, 49, 0, 26, 23, 87, 12, 78, 40, 83, 68, 14, 62, 15, 53, 90, 38, 72, 70, 3, 42, 76, 63, 84, 58, 5, 39, 82, 2, 43, 92, 59, 52, 61, 36, 34, 29, 99, 50, 18, 1, 47, 91, 4, 8, 54, 86, 25, 94, 55, 27, 11, 46, 20, 9, 19, 24, 81, 17, 95, 85, 64, 13, 67, 32, 44, 98, 77, 30, 56, 71, 75, 79]",21951.189151694416
"[61, 36, 50, 99, 29, 34, 4, 8, 9, 55, 94, 86, 25, 19, 24, 81, 13, 67, 32, 44, 98, 30, 56, 71, 60, 73, 10, 16, 89, 88, 69, 48, 97, 96, 31, 93, 49, 0, 80, 33, 37, 65, 45, 68, 15, 58, 5, 39, 82, 2, 76, 53, 90, 40, 78, 12, 87, 26, 23, 83, 14, 62, 95, 85, 64, 77, 79, 75, 6, 74, 66, 35, 28, 57, 21, 41, 22, 7, 51, 72, 38, 70, 92, 52, 18, 1, 47, 91, 54, 20, 27, 11, 46, 17, 84, 63, 42, 3, 43, 59]",28506.664705061026,"[24, 19, 5, 63, 76, 90, 53, 95, 85, 64, 30, 6, 66, 73, 60, 68, 42, 3, 43, 59, 58, 84, 56, 71, 74, 35, 28, 57, 21, 49, 0, 26, 23, 80, 33, 37, 65, 51, 15, 39, 25, 86, 54, 38, 78, 12, 31, 93, 16, 89, 41, 22, 75, 77, 79, 45, 7, 88, 69, 48, 97, 96, 10, 98, 44, 32, 52, 61, 34, 50, 29, 99, 1, 47, 20, 46, 9, 8, 92, 70, 72, 40, 87, 83, 14, 62, 17, 81, 11, 27, 82, 2, 4, 36, 18, 91, 94, 55, 67, 13]",43292.819028257596,"[69, 48, 97, 96, 31, 93, 16, 89, 88, 10, 22, 41, 21, 57, 28, 35, 66, 74, 6, 73, 60, 75, 79, 77, 71, 56, 30, 98, 44, 32, 67, 13, 64, 85, 95, 84, 17, 58, 63, 42, 76, 90, 53, 15, 62, 14, 68, 45, 51, 7, 65, 37, 80, 33, 49, 0, 26, 23, 87, 12, 78, 40, 83, 72, 38, 70, 3, 92, 43, 59, 52, 61, 36, 50, 34, 29, 99, 1, 47, 18, 91, 86, 25, 54, 4, 2, 82, 39, 5, 24, 19, 8, 9, 94, 55, 20, 46, 27, 11, 81]",21624.428387028238
"[1, 50, 36, 61, 59, 43, 92, 3, 70, 38, 72, 40, 23, 26, 0, 49, 93, 96, 31, 12, 78, 87, 83, 14, 90, 53, 76, 42, 63, 58, 24, 19, 9, 94, 55, 20, 27, 11, 46, 81, 15, 62, 68, 80, 33, 10, 88, 69, 48, 97, 16, 89, 37, 65, 7, 51, 45, 71, 56, 30, 98, 77, 60, 73, 22, 41, 21, 57, 28, 35, 66, 74, 6, 75, 79, 85, 95, 17, 8, 54, 25, 86, 91, 18, 99, 29, 34, 52, 2, 82, 39, 5, 13, 67, 32, 44, 64, 84, 4, 47]",29594.786197366397,"[92, 34, 29, 99, 50, 36, 61, 59, 43, 3, 70, 42, 9, 20, 46, 11, 27, 55, 94, 25, 86, 2, 82, 39, 5, 81, 13, 67, 32, 44, 98, 56, 71, 60, 7, 65, 51, 45, 75, 79, 85, 58, 47, 1, 18, 52, 63, 95, 6, 74, 66, 35, 28, 57, 21, 22, 68, 62, 53, 90, 14, 37, 88, 97, 48, 69, 41, 73, 30, 24, 19, 64, 77, 10, 89, 16, 96, 31, 93, 33, 80, 15, 4, 91, 54, 8, 17, 84, 76, 38, 72, 83, 40, 23, 26, 49, 0, 12, 78, 87]",37145.550467987494,"[97, 48, 69, 88, 10, 89, 16, 93, 96, 31, 49, 0, 12, 78, 87, 23, 26, 80, 33, 37, 65, 7, 51, 45, 60, 73, 22, 41, 21, 57, 28, 35, 66, 74, 6, 71, 56, 75, 79, 77, 30, 98, 44, 32, 67, 13, 64, 85, 95, 84, 17, 81, 46, 11, 27, 20, 55, 94, 9, 24, 19, 8, 54, 25, 86, 91, 18, 47, 1, 99, 29, 50, 36, 34, 61, 59, 92, 3, 43, 52, 4, 2, 82, 39, 5, 58, 63, 15, 53, 90, 76, 42, 70, 38, 72, 40, 83, 14, 62, 68]",22212.881424355674
"[95, 15, 76, 42, 3, 43, 59, 61, 18, 50, 36, 52, 58, 84, 17, 5, 82, 2, 4, 54, 55, 94, 25, 86, 91, 47, 1, 99, 29, 34, 92, 70, 38, 72, 40, 87, 78, 12, 80, 33, 37, 22, 41, 21, 57, 28, 35, 66, 74, 6, 71, 56, 77, 64, 81, 24, 19, 46, 11, 27, 20, 9, 8, 39, 63, 90, 53, 62, 14, 68, 83, 23, 26, 0, 49, 93, 31, 96, 97, 48, 69, 88, 89, 16, 10, 65, 7, 51, 45, 73, 60, 75, 79, 30, 98, 44, 32, 67, 13, 85]",26547.097453444843,"[50, 92, 70, 38, 41, 21, 57, 28, 22, 26, 87, 23, 75, 56, 71, 6, 74, 66, 35, 73, 60, 45, 68, 59, 34, 29, 99, 1, 47, 91, 95, 85, 13, 67, 81, 24, 8, 54, 86, 25, 94, 55, 9, 17, 84, 76, 72, 78, 12, 0, 49, 33, 37, 65, 7, 51, 14, 53, 90, 83, 40, 31, 96, 97, 48, 69, 79, 32, 11, 27, 93, 16, 89, 88, 10, 80, 62, 63, 58, 5, 19, 20, 46, 44, 98, 30, 77, 64, 15, 42, 3, 43, 52, 2, 39, 82, 4, 61, 36, 18]",42687.032473998486,"[45, 51, 7, 65, 37, 33, 80, 0, 49, 93, 31, 96, 97, 48, 69, 88, 89, 16, 10, 22, 41, 21, 57, 28, 35, 66, 74, 6, 73, 60, 75, 79, 77, 71, 56, 30, 98, 44, 32, 67, 13, 64, 85, 95, 15, 62, 53, 90, 76, 42, 63, 58, 84, 17, 5, 39, 82, 2, 4, 19, 24, 81, 46, 11, 27, 20, 55, 94, 9, 8, 54, 25, 86, 91, 47, 1, 99, 29, 34, 50, 18, 36, 61, 52, 59, 43, 92, 3, 70, 38, 72, 14, 68, 83, 40, 23, 26, 87, 78, 12]",21183.296745413678
"[57, 28, 35, 66, 74, 6, 71, 56, 77, 64, 85, 76, 42, 3, 43, 59, 34, 29, 99, 1, 47, 91, 18, 50, 36, 61, 4, 52, 92, 70, 38, 72, 83, 33, 10, 88, 69, 48, 97, 96, 31, 93, 49, 0, 23, 90, 53, 15, 95, 13, 67, 32, 44, 98, 30, 79, 75, 45, 51, 7, 65, 16, 89, 22, 73, 60, 68, 63, 58, 2, 82, 39, 5, 9, 94, 55, 27, 11, 46, 20, 25, 86, 54, 8, 19, 24, 81, 17, 84, 62, 14, 40, 78, 12, 87, 26, 80, 37, 41, 21]",28925.763723380212,"[16, 89, 93, 49, 0, 92, 18, 1, 47, 91, 54, 39, 82, 61, 36, 50, 99, 29, 34, 14, 60, 73, 74, 66, 21, 69, 48, 97, 88, 79, 77, 98, 30, 56, 71, 45, 80, 33, 10, 22, 41, 57, 28, 35, 6, 75, 68, 26, 23, 87, 40, 11, 27, 55, 94, 86, 25, 8, 38, 72, 83, 37, 65, 7, 51, 95, 85, 64, 44, 32, 67, 13, 81, 24, 19, 5, 58, 2, 4, 52, 59, 43, 76, 90, 53, 62, 15, 46, 20, 9, 17, 84, 63, 42, 3, 70, 78, 12, 31, 96]",39632.95703515549,"[97, 48, 69, 88, 10, 89, 16, 96, 31, 93, 49, 0, 12, 78, 87, 26, 23, 40, 83, 80, 33, 37, 65, 22, 41, 21, 57, 28, 35, 66, 74, 6, 71, 56, 79, 75, 60, 73, 7, 51, 45, 68, 62, 15, 76, 42, 90, 53, 14, 72, 38, 70, 3, 92, 43, 59, 52, 4, 2, 82, 39, 5, 58, 63, 95, 85, 64, 77, 30, 98, 44, 32, 67, 13, 81, 84, 17, 24, 19, 8, 54, 9, 20, 46, 11, 27, 55, 94, 25, 86, 91, 47, 1, 99, 18, 36, 50, 29, 34, 61]",22948.923451246115
"[8, 5, 84, 95, 85, 60, 73, 28, 57, 21, 69, 48, 97, 96, 31, 93, 49, 0, 12, 78, 87, 38, 42, 2, 54, 86, 25, 20, 27, 11, 13, 67, 32, 44, 77, 79, 75, 45, 65, 37, 33, 80, 14, 90, 53, 15, 17, 24, 19, 4, 52, 43, 3, 72, 40, 23, 26, 83, 70, 92, 59, 61, 36, 18, 50, 34, 29, 99, 1, 47, 91, 82, 39, 58, 64, 98, 30, 56, 71, 6, 74, 66, 35, 41, 10, 16, 89, 88, 22, 7, 51, 68, 62, 76, 63, 81, 46, 55, 94, 9]",33066.82835139925,"[81, 15, 33, 10, 93, 31, 96, 16, 89, 88, 21, 57, 28, 35, 66, 74, 6, 75, 95, 17, 8, 9, 94, 55, 20, 32, 44, 67, 13, 64, 85, 84, 2, 4, 91, 47, 1, 18, 36, 61, 52, 59, 34, 29, 99, 50, 92, 0, 49, 97, 48, 69, 41, 22, 79, 77, 98, 30, 65, 37, 80, 62, 82, 25, 86, 54, 43, 3, 70, 38, 51, 7, 73, 60, 45, 14, 90, 53, 76, 63, 39, 5, 19, 24, 58, 42, 72, 78, 12, 87, 26, 23, 40, 83, 68, 71, 56, 11, 27, 46]",38945.83417103814,"[49, 0, 12, 78, 87, 26, 23, 40, 83, 14, 72, 38, 70, 3, 92, 43, 59, 52, 61, 34, 29, 99, 50, 36, 18, 1, 47, 91, 4, 2, 8, 9, 54, 86, 25, 94, 55, 20, 27, 11, 46, 19, 24, 81, 17, 5, 82, 39, 58, 84, 63, 42, 76, 90, 53, 62, 15, 95, 85, 64, 13, 67, 32, 44, 98, 30, 56, 71, 77, 79, 75, 60, 73, 6, 74, 66, 35, 28, 57, 21, 69, 48, 97, 96, 31, 93, 16, 89, 10, 88, 41, 22, 37, 33, 80, 65, 7, 51, 45, 68]",21795.89320275374
