Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[35, 26, 23, 18, 15, 17, 16, 4, 3, 12, 13, 8, 7, 33, 34, 37, 38, 62, 61, 57, 52, 51, 45, 42, 40, 36, 24, 25, 43, 46, 50, 53, 56, 104, 66, 67, 83, 92, 97, 98, 88, 78, 76, 71, 63, 55, 54, 49, 47, 44, 103, 32, 27, 22, 19, 11, 2, 0, 1, 5, 6, 9, 10, 14, 102, 20, 21, 28, 29, 30, 31, 39, 48, 58, 70, 77, 81, 82, 84, 90, 91, 95, 96, 100, 101, 85, 79, 75, 72, 68, 69, 73, 74, 80, 89, 94, 99, 93, 87, 86, 65, 64, 60, 59, 41]",19817.495564397603,"[54, 104, 61, 68, 73, 72, 78, 83, 84, 82, 81, 77, 49, 103, 29, 30, 31, 39, 44, 47, 51, 52, 57, 56, 55, 58, 70, 90, 91, 95, 96, 100, 101, 92, 97, 98, 89, 88, 85, 79, 75, 80, 74, 69, 62, 53, 50, 46, 43, 35, 25, 24, 36, 41, 65, 86, 93, 99, 94, 87, 64, 59, 60, 42, 40, 17, 18, 23, 26, 32, 27, 22, 19, 102, 20, 14, 10, 9, 6, 5, 1, 0, 2, 7, 33, 34, 37, 38, 63, 66, 67, 76, 71, 45, 16, 8, 4, 3, 12, 13, 15, 11, 21, 28, 48]",23264.456087138475,"[13, 12, 3, 4, 8, 7, 11, 2, 0, 1, 5, 6, 9, 10, 14, 20, 21, 28, 102, 19, 22, 23, 18, 15, 16, 17, 24, 25, 26, 27, 29, 30, 31, 32, 103, 39, 48, 58, 55, 54, 49, 47, 44, 35, 36, 41, 42, 40, 43, 46, 50, 53, 56, 45, 51, 52, 57, 62, 61, 104, 63, 71, 76, 78, 66, 67, 70, 77, 81, 82, 84, 83, 85, 92, 90, 91, 95, 96, 100, 101, 97, 98, 89, 88, 79, 75, 72, 68, 69, 73, 74, 80, 94, 99, 93, 87, 86, 65, 64, 60, 59, 38, 37, 34, 33]",15740.835774146419
"[71, 72, 73, 74, 80, 88, 89, 69, 62, 61, 57, 52, 51, 45, 42, 40, 35, 25, 24, 17, 15, 2, 0, 1, 5, 6, 9, 10, 14, 20, 21, 28, 102, 18, 16, 4, 3, 12, 13, 33, 37, 38, 34, 8, 7, 11, 19, 22, 27, 32, 103, 43, 46, 50, 53, 56, 41, 36, 26, 23, 29, 30, 31, 39, 48, 44, 47, 49, 54, 55, 58, 104, 63, 66, 67, 70, 77, 81, 82, 83, 84, 90, 91, 95, 96, 100, 101, 92, 97, 98, 99, 94, 93, 87, 86, 65, 64, 59, 60, 68, 75, 79, 85, 78, 76]",18066.740645468206,"[77, 70, 58, 49, 46, 50, 104, 72, 75, 79, 73, 68, 62, 36, 25, 24, 17, 7, 8, 16, 35, 40, 43, 103, 44, 47, 48, 39, 31, 28, 6, 5, 1, 0, 34, 37, 38, 59, 60, 52, 51, 45, 42, 13, 4, 3, 12, 33, 41, 57, 61, 97, 98, 89, 69, 32, 27, 22, 19, 102, 21, 20, 14, 10, 9, 2, 11, 15, 18, 23, 26, 29, 30, 63, 85, 88, 92, 95, 91, 90, 83, 78, 76, 71, 65, 64, 86, 87, 93, 99, 94, 80, 74, 56, 53, 54, 55, 66, 67, 81, 82, 84, 101, 100, 96]",26559.960051421596,"[59, 60, 64, 65, 62, 61, 68, 73, 74, 80, 69, 87, 86, 93, 94, 99, 98, 97, 89, 88, 92, 101, 100, 96, 95, 91, 90, 85, 79, 75, 72, 76, 78, 83, 84, 82, 81, 77, 70, 67, 66, 71, 63, 104, 58, 55, 54, 49, 47, 48, 39, 44, 46, 50, 53, 56, 57, 52, 51, 45, 42, 41, 40, 43, 103, 32, 31, 30, 29, 28, 21, 20, 102, 27, 22, 19, 11, 14, 10, 9, 6, 5, 1, 0, 2, 7, 8, 16, 24, 17, 15, 18, 23, 26, 25, 35, 36, 38, 37, 34, 33, 13, 12, 4, 3]",15061.046909459805
"[76, 78, 72, 73, 69, 65, 64, 57, 52, 51, 45, 42, 41, 36, 13, 12, 3, 4, 16, 17, 15, 18, 23, 26, 24, 25, 35, 40, 43, 46, 50, 53, 56, 61, 62, 86, 87, 93, 94, 99, 98, 97, 89, 88, 80, 74, 63, 104, 58, 55, 54, 49, 47, 44, 48, 39, 103, 32, 29, 30, 31, 28, 21, 20, 102, 27, 22, 19, 11, 14, 10, 9, 6, 5, 1, 0, 2, 7, 8, 33, 34, 37, 38, 59, 60, 68, 75, 79, 85, 92, 101, 100, 96, 95, 91, 90, 84, 83, 82, 81, 77, 70, 67, 66, 71]",18364.478954539358,"[95, 96, 100, 101, 92, 38, 34, 33, 37, 86, 87, 93, 99, 94, 69, 68, 72, 75, 79, 85, 71, 63, 104, 39, 103, 32, 10, 9, 1, 0, 5, 6, 20, 21, 28, 31, 30, 8, 7, 2, 11, 14, 102, 19, 22, 29, 27, 26, 23, 18, 15, 16, 4, 3, 12, 13, 17, 24, 25, 35, 36, 41, 62, 88, 97, 98, 89, 80, 74, 73, 61, 56, 53, 50, 49, 47, 48, 44, 46, 45, 51, 52, 57, 60, 59, 64, 65, 42, 40, 43, 54, 55, 58, 66, 67, 70, 77, 81, 76, 78, 83, 82, 84, 90, 91]",21917.134602294736,"[13, 12, 3, 4, 8, 7, 16, 15, 17, 24, 25, 26, 23, 18, 22, 19, 11, 2, 0, 1, 5, 6, 9, 10, 14, 102, 20, 21, 28, 31, 30, 29, 27, 32, 103, 39, 48, 58, 66, 67, 70, 77, 81, 82, 84, 83, 78, 76, 71, 63, 104, 55, 54, 49, 47, 44, 43, 35, 36, 41, 40, 42, 45, 51, 46, 50, 53, 56, 52, 57, 61, 62, 69, 74, 73, 68, 72, 75, 79, 80, 89, 88, 85, 92, 90, 91, 95, 96, 100, 101, 97, 98, 99, 94, 93, 87, 86, 65, 64, 60, 59, 38, 37, 34, 33]",15564.118210683711
"[52, 57, 60, 59, 64, 65, 86, 87, 93, 94, 99, 98, 97, 92, 85, 72, 75, 79, 88, 89, 80, 74, 73, 68, 69, 62, 61, 104, 55, 54, 49, 47, 44, 103, 26, 23, 18, 11, 2, 0, 1, 5, 6, 9, 10, 14, 102, 20, 21, 28, 29, 30, 31, 39, 48, 58, 66, 67, 70, 77, 81, 82, 84, 101, 100, 96, 95, 91, 90, 83, 78, 76, 71, 63, 56, 53, 50, 46, 43, 41, 36, 4, 3, 12, 13, 33, 34, 37, 38, 25, 24, 17, 15, 16, 8, 7, 19, 22, 27, 32, 35, 40, 42, 45, 51]",18110.106785161923,"[8, 49, 58, 70, 77, 81, 67, 66, 71, 76, 98, 99, 93, 94, 89, 88, 84, 82, 83, 78, 79, 75, 72, 74, 80, 85, 95, 96, 100, 101, 48, 30, 29, 27, 32, 40, 42, 45, 41, 13, 12, 3, 4, 16, 35, 44, 47, 46, 50, 51, 52, 68, 73, 69, 60, 38, 37, 33, 34, 15, 11, 14, 102, 20, 21, 28, 31, 39, 54, 55, 53, 56, 104, 63, 61, 62, 57, 43, 103, 22, 19, 26, 23, 18, 17, 24, 25, 36, 59, 64, 65, 86, 87, 97, 92, 91, 90, 1, 0, 5, 6, 9, 10, 2, 7]",28367.02704970098,"[101, 100, 96, 95, 91, 90, 92, 88, 89, 97, 98, 99, 94, 93, 87, 86, 65, 64, 60, 59, 38, 37, 34, 33, 13, 12, 3, 4, 8, 7, 2, 0, 1, 5, 6, 9, 10, 14, 20, 21, 28, 29, 30, 31, 39, 48, 49, 47, 44, 103, 43, 46, 50, 53, 56, 54, 55, 58, 104, 63, 66, 67, 70, 71, 76, 78, 83, 77, 81, 82, 84, 85, 79, 75, 72, 80, 74, 73, 68, 69, 62, 61, 57, 52, 51, 45, 42, 40, 41, 36, 35, 32, 27, 22, 19, 102, 11, 18, 23, 26, 25, 24, 17, 15, 16]",14634.237390383872
"[75, 79, 85, 101, 100, 96, 95, 91, 90, 84, 82, 81, 77, 70, 58, 48, 39, 30, 29, 102, 11, 15, 16, 17, 24, 25, 36, 41, 56, 104, 63, 71, 76, 78, 88, 98, 97, 92, 83, 67, 66, 55, 54, 49, 47, 44, 31, 28, 21, 20, 14, 10, 9, 6, 5, 1, 0, 2, 7, 8, 4, 3, 12, 13, 33, 34, 37, 38, 59, 60, 64, 65, 86, 87, 93, 99, 94, 89, 80, 74, 73, 68, 61, 57, 52, 51, 45, 42, 40, 35, 26, 23, 18, 19, 22, 27, 32, 103, 43, 46, 50, 53, 62, 69, 72]",19213.021554316834,"[30, 31, 103, 93, 99, 94, 80, 74, 55, 44, 32, 18, 23, 26, 35, 59, 60, 64, 65, 89, 92, 101, 100, 96, 95, 57, 52, 51, 45, 47, 49, 54, 58, 66, 67, 76, 71, 63, 53, 50, 46, 43, 40, 36, 34, 33, 11, 10, 9, 6, 5, 1, 14, 102, 39, 48, 70, 77, 83, 78, 79, 75, 69, 86, 87, 98, 97, 88, 73, 68, 61, 62, 37, 38, 41, 42, 56, 72, 85, 91, 90, 84, 82, 81, 104, 13, 12, 3, 4, 0, 2, 7, 8, 16, 25, 24, 17, 15, 19, 22, 27, 20, 21, 28, 29]",29622.635760211226,"[59, 60, 64, 65, 86, 87, 93, 94, 99, 98, 97, 92, 101, 100, 96, 95, 91, 90, 84, 83, 82, 81, 77, 70, 67, 66, 71, 76, 78, 85, 88, 89, 80, 79, 75, 72, 68, 73, 74, 69, 62, 61, 63, 104, 58, 55, 56, 57, 52, 51, 45, 42, 41, 40, 43, 46, 50, 53, 54, 49, 47, 44, 48, 39, 103, 35, 36, 25, 24, 17, 16, 15, 23, 26, 32, 27, 18, 11, 19, 22, 29, 30, 31, 28, 21, 20, 102, 14, 10, 9, 6, 5, 1, 0, 2, 7, 8, 4, 3, 12, 13, 33, 34, 37, 38]",14574.34588148615
"[78, 76, 71, 63, 104, 55, 48, 39, 31, 30, 29, 28, 21, 20, 102, 19, 22, 27, 32, 35, 36, 41, 40, 42, 45, 51, 52, 87, 94, 99, 93, 86, 65, 64, 60, 59, 38, 37, 34, 33, 8, 7, 2, 0, 1, 5, 6, 9, 10, 14, 11, 17, 24, 25, 13, 12, 3, 4, 16, 15, 18, 23, 26, 103, 44, 47, 49, 54, 58, 66, 67, 70, 77, 81, 82, 83, 84, 92, 101, 100, 96, 95, 91, 90, 85, 79, 75, 72, 68, 61, 56, 53, 50, 46, 43, 57, 62, 69, 73, 74, 80, 88, 97, 98, 89]",19237.93632209856,"[34, 76, 78, 83, 82, 84, 95, 96, 101, 100, 91, 90, 71, 29, 102, 19, 22, 27, 23, 26, 36, 38, 41, 42, 46, 55, 104, 61, 62, 57, 51, 45, 43, 47, 44, 39, 48, 66, 67, 81, 77, 70, 31, 30, 32, 103, 49, 54, 58, 63, 73, 74, 79, 75, 72, 40, 35, 18, 2, 0, 1, 5, 6, 9, 10, 94, 99, 93, 25, 24, 17, 15, 16, 4, 3, 12, 13, 8, 7, 11, 14, 20, 21, 28, 85, 92, 97, 98, 64, 65, 80, 88, 89, 87, 86, 69, 68, 56, 53, 50, 52, 60, 59, 37, 33]",32398.11244322371,"[59, 60, 64, 65, 86, 87, 93, 99, 94, 89, 98, 97, 92, 101, 100, 96, 95, 91, 90, 84, 82, 81, 77, 70, 67, 66, 71, 76, 78, 83, 85, 88, 79, 75, 72, 80, 74, 73, 68, 69, 62, 61, 63, 104, 58, 55, 54, 49, 47, 44, 48, 39, 103, 43, 46, 50, 53, 56, 57, 52, 51, 45, 42, 40, 41, 36, 35, 32, 25, 24, 17, 16, 15, 18, 23, 26, 19, 102, 22, 27, 29, 30, 31, 28, 21, 20, 14, 10, 9, 6, 5, 1, 0, 2, 11, 7, 8, 4, 3, 12, 13, 33, 34, 37, 38]",14573.336911202212
"[42, 41, 36, 25, 24, 17, 15, 8, 7, 2, 14, 20, 21, 28, 29, 103, 43, 46, 50, 53, 61, 68, 73, 74, 89, 88, 79, 75, 72, 63, 58, 55, 54, 49, 47, 44, 32, 27, 22, 19, 102, 0, 1, 5, 6, 9, 10, 11, 18, 23, 26, 30, 31, 39, 48, 62, 69, 80, 92, 101, 100, 96, 95, 91, 90, 84, 83, 82, 81, 77, 70, 67, 66, 104, 56, 40, 35, 16, 4, 3, 12, 13, 33, 34, 37, 38, 59, 60, 64, 65, 86, 87, 93, 94, 99, 98, 97, 85, 78, 76, 71, 57, 52, 51, 45]",20176.324031997105,"[13, 4, 3, 12, 33, 93, 94, 99, 92, 95, 96, 97, 98, 89, 88, 63, 104, 55, 48, 29, 14, 6, 5, 1, 0, 2, 7, 8, 58, 70, 77, 81, 82, 84, 83, 78, 54, 49, 47, 32, 27, 22, 20, 21, 28, 30, 31, 39, 44, 103, 26, 25, 24, 17, 15, 16, 35, 59, 64, 65, 86, 87, 80, 74, 73, 69, 62, 60, 38, 37, 34, 51, 52, 57, 61, 68, 72, 75, 79, 76, 71, 66, 67, 90, 91, 100, 101, 85, 56, 23, 18, 11, 9, 10, 102, 19, 43, 46, 50, 53, 45, 42, 40, 41, 36]",27996.506101369512,"[3, 4, 12, 13, 8, 7, 11, 2, 0, 1, 5, 6, 9, 10, 14, 20, 21, 28, 31, 30, 29, 27, 22, 102, 19, 18, 23, 26, 32, 35, 36, 25, 24, 17, 15, 16, 34, 33, 37, 38, 59, 60, 64, 65, 86, 87, 93, 94, 99, 98, 97, 89, 88, 80, 74, 73, 69, 68, 72, 75, 79, 76, 78, 83, 85, 92, 101, 100, 96, 95, 91, 90, 84, 82, 81, 77, 70, 67, 66, 71, 63, 61, 62, 57, 52, 51, 45, 53, 50, 46, 43, 42, 41, 40, 103, 39, 48, 44, 47, 49, 54, 55, 58, 104, 56]",15211.959018002895
"[55, 58, 104, 63, 66, 67, 70, 71, 76, 78, 83, 77, 81, 82, 84, 90, 91, 95, 96, 100, 101, 92, 97, 98, 87, 86, 65, 64, 60, 59, 38, 37, 34, 33, 8, 7, 2, 0, 1, 5, 6, 9, 10, 14, 19, 18, 15, 16, 13, 12, 3, 4, 36, 41, 43, 48, 39, 25, 24, 17, 11, 102, 20, 21, 28, 29, 30, 31, 103, 46, 50, 53, 56, 61, 68, 73, 74, 80, 72, 75, 79, 85, 88, 89, 94, 99, 93, 69, 62, 57, 52, 51, 45, 42, 40, 35, 26, 23, 22, 27, 32, 44, 47, 49, 54]",19560.22414946602,"[100, 101, 92, 85, 83, 70, 48, 29, 19, 23, 26, 35, 41, 40, 10, 9, 6, 5, 1, 0, 2, 11, 7, 8, 13, 16, 25, 24, 17, 15, 18, 103, 44, 47, 49, 54, 55, 104, 61, 87, 86, 65, 64, 51, 45, 42, 30, 28, 21, 22, 27, 32, 36, 38, 37, 59, 60, 52, 46, 43, 102, 14, 20, 31, 39, 72, 88, 97, 98, 99, 93, 94, 89, 73, 68, 57, 53, 56, 58, 66, 67, 82, 84, 95, 91, 90, 81, 77, 76, 75, 79, 80, 74, 69, 62, 34, 33, 12, 3, 4, 50, 63, 71, 78, 96]",27272.139764205396,"[99, 94, 93, 87, 86, 65, 64, 59, 60, 62, 61, 69, 68, 73, 74, 80, 72, 75, 79, 88, 89, 98, 97, 92, 101, 100, 96, 95, 91, 90, 84, 85, 78, 76, 71, 83, 82, 81, 77, 70, 67, 66, 63, 104, 56, 58, 55, 54, 49, 47, 44, 48, 39, 103, 43, 46, 50, 53, 57, 52, 51, 45, 42, 40, 41, 36, 35, 25, 24, 17, 16, 15, 23, 26, 32, 31, 30, 29, 28, 21, 20, 102, 19, 22, 27, 18, 11, 14, 10, 9, 6, 5, 1, 0, 2, 7, 8, 4, 3, 12, 13, 33, 34, 37, 38]",14467.542879544273
"[44, 103, 26, 23, 18, 11, 0, 1, 5, 6, 2, 7, 8, 15, 17, 24, 25, 36, 41, 45, 51, 52, 57, 62, 61, 72, 75, 79, 92, 101, 100, 96, 95, 91, 90, 84, 83, 82, 81, 77, 70, 67, 66, 58, 48, 39, 31, 30, 29, 28, 21, 20, 10, 9, 14, 102, 19, 22, 27, 32, 40, 42, 64, 65, 86, 87, 93, 94, 99, 98, 97, 89, 88, 85, 78, 76, 71, 63, 56, 53, 50, 46, 43, 35, 16, 4, 3, 12, 13, 33, 34, 37, 38, 59, 60, 69, 80, 74, 73, 68, 104, 55, 54, 49, 47]",19364.484753031145,"[28, 21, 29, 103, 43, 46, 44, 47, 49, 58, 70, 77, 81, 82, 83, 79, 73, 68, 45, 42, 40, 27, 22, 19, 15, 16, 8, 7, 2, 17, 24, 25, 18, 11, 6, 5, 1, 0, 102, 104, 72, 75, 88, 89, 94, 99, 93, 86, 87, 80, 74, 65, 64, 60, 59, 37, 34, 33, 12, 3, 4, 13, 69, 98, 97, 92, 85, 78, 76, 39, 20, 10, 9, 14, 30, 84, 101, 100, 96, 95, 91, 90, 62, 51, 41, 38, 36, 35, 26, 23, 32, 50, 53, 54, 55, 56, 52, 57, 61, 63, 71, 67, 66, 48, 31]",29715.865437301385,"[59, 60, 64, 65, 86, 87, 93, 99, 94, 89, 88, 98, 97, 92, 101, 100, 96, 95, 91, 90, 84, 83, 78, 76, 82, 81, 77, 70, 67, 66, 71, 63, 72, 75, 79, 85, 80, 74, 73, 68, 69, 62, 61, 104, 58, 55, 54, 49, 47, 44, 48, 39, 103, 43, 46, 50, 53, 56, 57, 52, 51, 45, 42, 40, 41, 36, 35, 25, 24, 17, 16, 15, 11, 102, 19, 22, 27, 18, 23, 26, 32, 31, 30, 29, 28, 21, 20, 14, 10, 9, 6, 5, 1, 0, 2, 7, 8, 4, 3, 12, 13, 33, 34, 37, 38]",14395.031151882215
"[18, 23, 26, 35, 36, 41, 40, 42, 45, 51, 52, 57, 61, 69, 73, 74, 80, 89, 88, 92, 101, 100, 96, 95, 85, 79, 75, 63, 58, 48, 39, 31, 30, 28, 21, 20, 14, 10, 9, 6, 5, 1, 0, 2, 102, 29, 103, 43, 46, 50, 53, 56, 104, 71, 76, 78, 72, 68, 62, 38, 37, 59, 60, 64, 65, 86, 87, 93, 94, 99, 98, 97, 91, 90, 84, 83, 82, 81, 77, 70, 67, 66, 55, 54, 49, 47, 44, 32, 27, 22, 19, 11, 7, 8, 4, 3, 12, 13, 33, 34, 16, 15, 17, 24, 25]",19184.879598374802,"[22, 27, 32, 40, 42, 74, 80, 79, 75, 73, 69, 62, 37, 38, 61, 63, 67, 66, 43, 35, 25, 24, 17, 36, 41, 88, 89, 94, 99, 93, 86, 64, 59, 60, 56, 54, 55, 81, 82, 84, 90, 91, 85, 78, 76, 71, 104, 53, 45, 51, 52, 72, 83, 77, 70, 58, 49, 47, 15, 16, 8, 13, 12, 3, 4, 7, 2, 0, 1, 5, 6, 20, 31, 39, 48, 44, 30, 28, 21, 29, 103, 46, 50, 57, 65, 87, 98, 97, 92, 101, 100, 96, 95, 68, 34, 33, 26, 23, 18, 11, 9, 10, 14, 102, 19]",29871.606957326436,"[3, 4, 12, 13, 33, 34, 37, 38, 36, 25, 35, 41, 40, 42, 45, 51, 52, 57, 53, 56, 62, 61, 63, 71, 76, 78, 85, 88, 89, 80, 74, 73, 79, 75, 72, 68, 69, 60, 59, 64, 65, 86, 87, 93, 94, 99, 98, 97, 92, 101, 100, 96, 95, 91, 90, 84, 83, 82, 81, 77, 70, 67, 66, 104, 58, 55, 54, 49, 47, 48, 39, 44, 50, 46, 43, 103, 32, 26, 23, 18, 15, 17, 24, 16, 8, 7, 2, 11, 19, 22, 27, 29, 30, 31, 28, 21, 20, 102, 14, 10, 9, 6, 5, 1, 0]",15504.689013057154
