Jump - tour,Jump - cost,Exchange - tour,Exchange - cost,Inverse - tour,Inverse - cost
"[66, 55, 49, 57, 36, 46, 15, 0, 35, 22, 12, 28, 69, 30, 68, 34, 58, 37, 21, 62, 65, 5, 40, 42, 16, 20, 33, 61, 53, 32, 11, 59, 9, 4, 52, 56, 14, 23, 18, 31, 2, 43, 67, 8, 39, 60, 38, 24, 44, 45, 26, 29, 19, 13, 27, 7, 48, 54, 25, 6, 1, 3, 17, 41, 51, 50, 64, 63, 10, 47]",782.8490031869659,"[64, 10, 55, 4, 52, 5, 17, 3, 56, 62, 65, 21, 58, 68, 30, 37, 49, 66, 53, 61, 38, 24, 44, 32, 59, 9, 46, 22, 12, 28, 15, 36, 57, 1, 6, 18, 23, 14, 34, 69, 35, 0, 63, 47, 60, 39, 8, 16, 42, 26, 45, 29, 19, 13, 48, 54, 25, 7, 27, 43, 67, 20, 33, 11, 40, 2, 31, 41, 51, 50]",1136.0693453107683,"[63, 10, 55, 66, 47, 32, 53, 61, 60, 38, 24, 44, 39, 45, 26, 8, 33, 20, 11, 59, 51, 9, 4, 52, 16, 42, 40, 5, 41, 17, 3, 31, 2, 43, 67, 29, 19, 13, 27, 7, 25, 48, 54, 18, 6, 1, 23, 14, 56, 62, 65, 21, 58, 34, 69, 28, 12, 30, 68, 37, 22, 35, 0, 15, 46, 36, 57, 49, 50, 64]",714.6074981474363
"[22, 46, 49, 9, 51, 33, 38, 24, 44, 39, 8, 20, 55, 64, 63, 50, 59, 16, 42, 67, 43, 13, 27, 7, 2, 31, 41, 40, 11, 32, 47, 10, 66, 53, 61, 60, 45, 26, 29, 19, 48, 54, 25, 18, 6, 1, 3, 17, 5, 52, 4, 57, 36, 15, 0, 35, 37, 58, 21, 65, 62, 56, 23, 14, 34, 69, 28, 12, 30, 68]",895.6497735962156,"[57, 36, 15, 0, 35, 22, 52, 40, 5, 23, 14, 56, 55, 10, 66, 47, 53, 61, 24, 44, 42, 16, 20, 60, 38, 39, 8, 7, 27, 13, 26, 45, 29, 19, 48, 54, 25, 18, 6, 1, 67, 43, 2, 31, 41, 17, 3, 65, 62, 58, 21, 4, 9, 59, 32, 33, 11, 51, 49, 12, 28, 69, 34, 68, 30, 37, 46, 63, 64, 50]",1103.9456439852388,"[10, 55, 59, 11, 33, 20, 51, 9, 49, 50, 64, 63, 15, 0, 35, 22, 46, 36, 57, 4, 52, 65, 62, 21, 37, 12, 28, 69, 30, 68, 34, 58, 56, 14, 23, 3, 17, 5, 41, 2, 31, 6, 1, 18, 25, 54, 48, 7, 27, 13, 19, 29, 43, 67, 40, 42, 16, 8, 60, 39, 26, 45, 44, 24, 38, 61, 53, 32, 66, 47]",773.7469805828375
"[47, 66, 10, 55, 64, 63, 50, 9, 4, 37, 68, 30, 12, 28, 69, 34, 14, 23, 56, 62, 58, 21, 65, 3, 31, 2, 7, 27, 48, 54, 25, 18, 6, 1, 17, 41, 40, 5, 52, 22, 35, 0, 15, 46, 36, 57, 49, 51, 59, 11, 20, 8, 39, 60, 38, 24, 44, 45, 26, 29, 19, 13, 43, 67, 42, 16, 33, 32, 61, 53]",785.7192297028312,"[41, 5, 59, 55, 64, 63, 35, 30, 68, 58, 37, 22, 15, 36, 57, 46, 21, 62, 56, 14, 23, 18, 1, 3, 17, 39, 44, 24, 38, 0, 28, 12, 69, 34, 65, 52, 40, 42, 16, 51, 9, 4, 49, 50, 53, 61, 32, 11, 20, 33, 8, 67, 43, 2, 27, 13, 19, 29, 26, 45, 60, 47, 10, 66, 6, 25, 54, 48, 7, 31]",1144.7588818906406,"[64, 55, 50, 49, 57, 36, 46, 15, 22, 0, 35, 28, 12, 69, 34, 68, 30, 37, 58, 21, 65, 62, 56, 14, 23, 18, 25, 54, 48, 7, 27, 13, 19, 29, 26, 45, 39, 8, 67, 43, 42, 16, 40, 5, 41, 2, 31, 6, 1, 3, 17, 52, 4, 9, 51, 59, 11, 20, 33, 60, 44, 24, 38, 61, 53, 32, 66, 47, 10, 63]",726.0977818576707
"[68, 37, 58, 21, 62, 65, 52, 4, 9, 51, 49, 57, 36, 46, 22, 12, 69, 34, 56, 14, 23, 1, 31, 2, 43, 67, 8, 39, 60, 38, 24, 44, 45, 26, 29, 19, 13, 27, 7, 25, 48, 54, 18, 6, 3, 17, 41, 5, 40, 42, 16, 20, 33, 11, 59, 32, 61, 53, 47, 66, 10, 55, 50, 64, 63, 15, 0, 35, 28, 30]",736.3058448788709,"[44, 24, 38, 33, 68, 34, 56, 14, 23, 18, 54, 48, 9, 51, 59, 11, 41, 17, 1, 6, 25, 7, 27, 19, 29, 45, 26, 67, 12, 28, 69, 30, 42, 16, 20, 32, 53, 61, 60, 39, 8, 40, 5, 62, 58, 37, 22, 15, 46, 36, 57, 49, 4, 52, 65, 21, 50, 55, 66, 47, 10, 64, 63, 0, 35, 3, 31, 2, 13, 43]",1253.7763843706132,"[44, 24, 38, 60, 61, 53, 32, 47, 66, 55, 10, 63, 64, 50, 49, 57, 36, 46, 15, 22, 0, 35, 28, 69, 12, 37, 30, 68, 34, 14, 23, 56, 62, 58, 21, 65, 52, 4, 9, 51, 59, 11, 33, 20, 16, 40, 5, 41, 17, 3, 1, 6, 18, 25, 54, 48, 27, 7, 31, 2, 13, 19, 29, 43, 67, 42, 8, 39, 26, 45]",720.6041292863849
"[21, 62, 56, 14, 23, 18, 6, 1, 3, 17, 41, 67, 26, 45, 40, 5, 52, 65, 58, 34, 68, 30, 69, 12, 28, 35, 0, 15, 4, 9, 51, 59, 32, 53, 61, 38, 24, 44, 60, 39, 8, 2, 31, 7, 25, 54, 48, 27, 13, 19, 29, 43, 42, 16, 20, 33, 11, 66, 47, 10, 55, 64, 63, 50, 49, 57, 36, 46, 22, 37]",817.2833517979192,"[2, 27, 7, 25, 18, 21, 22, 46, 4, 60, 38, 61, 47, 10, 66, 53, 32, 59, 52, 56, 14, 23, 3, 5, 9, 50, 55, 64, 63, 36, 57, 49, 51, 11, 33, 20, 42, 40, 6, 1, 65, 62, 58, 68, 35, 0, 15, 16, 8, 39, 44, 24, 45, 26, 67, 37, 12, 28, 69, 30, 34, 29, 19, 13, 48, 54, 31, 17, 41, 43]",1213.035509082351,"[31, 6, 1, 3, 17, 41, 5, 40, 42, 16, 11, 20, 33, 8, 26, 45, 44, 24, 38, 39, 60, 61, 53, 47, 10, 66, 32, 59, 55, 64, 63, 50, 51, 9, 4, 52, 49, 57, 36, 46, 15, 22, 0, 35, 28, 12, 30, 69, 34, 68, 37, 58, 21, 65, 62, 56, 14, 23, 18, 25, 54, 48, 7, 27, 13, 19, 29, 67, 43, 2]",727.4090483984917
"[41, 8, 26, 45, 24, 44, 39, 60, 38, 61, 53, 47, 66, 10, 63, 64, 55, 50, 49, 57, 36, 46, 15, 0, 35, 22, 37, 68, 30, 12, 28, 69, 34, 14, 23, 1, 3, 17, 52, 4, 9, 51, 59, 32, 11, 33, 20, 16, 42, 2, 7, 25, 54, 48, 27, 13, 19, 29, 43, 67, 40, 5, 65, 21, 58, 62, 56, 18, 6, 31]",796.954311252587,"[42, 11, 32, 47, 53, 61, 38, 24, 44, 60, 39, 45, 26, 8, 33, 20, 16, 29, 19, 13, 40, 51, 9, 52, 14, 23, 18, 54, 48, 59, 66, 10, 63, 15, 12, 30, 68, 34, 69, 28, 46, 36, 57, 49, 64, 55, 50, 4, 65, 62, 21, 37, 22, 0, 35, 58, 56, 1, 6, 3, 17, 5, 41, 31, 2, 7, 25, 27, 43, 67]",1060.4178342315713,"[48, 25, 6, 1, 3, 17, 31, 2, 7, 27, 13, 19, 29, 43, 67, 26, 45, 44, 24, 38, 39, 8, 60, 61, 33, 20, 16, 42, 40, 41, 5, 52, 4, 9, 51, 59, 11, 32, 53, 47, 66, 10, 63, 64, 55, 50, 49, 57, 36, 46, 15, 22, 0, 35, 28, 12, 69, 30, 68, 34, 58, 37, 21, 65, 62, 56, 14, 23, 18, 54]",721.2628445717431
"[47, 53, 61, 38, 24, 44, 45, 26, 8, 32, 49, 57, 36, 50, 64, 63, 15, 0, 35, 21, 65, 3, 17, 31, 2, 25, 48, 54, 18, 23, 14, 56, 34, 69, 28, 12, 22, 46, 4, 9, 51, 11, 20, 33, 60, 39, 16, 42, 40, 52, 37, 30, 68, 58, 62, 1, 6, 7, 27, 13, 19, 29, 43, 67, 41, 5, 59, 55, 10, 66]",959.8476555945975,"[66, 10, 47, 53, 61, 32, 52, 5, 41, 40, 42, 16, 51, 9, 4, 65, 21, 62, 56, 23, 1, 31, 2, 7, 48, 54, 25, 6, 3, 17, 43, 67, 58, 37, 22, 35, 0, 15, 36, 50, 63, 64, 55, 39, 45, 44, 24, 38, 60, 33, 20, 11, 59, 49, 57, 46, 28, 12, 30, 68, 69, 34, 14, 18, 27, 13, 19, 29, 26, 8]",1047.178533658063,"[20, 16, 42, 67, 8, 39, 60, 38, 24, 44, 45, 26, 29, 19, 13, 43, 2, 31, 7, 27, 48, 54, 25, 18, 6, 1, 3, 17, 41, 40, 5, 52, 65, 56, 23, 14, 62, 21, 58, 68, 30, 34, 69, 28, 12, 37, 22, 35, 0, 15, 46, 36, 57, 49, 4, 9, 51, 50, 55, 64, 63, 10, 66, 47, 53, 61, 32, 59, 11, 33]",722.3650532792926
"[30, 12, 35, 0, 15, 36, 57, 49, 59, 32, 53, 61, 38, 24, 44, 39, 60, 16, 42, 40, 41, 2, 31, 17, 52, 4, 9, 55, 10, 47, 66, 11, 20, 33, 8, 45, 26, 67, 43, 29, 19, 13, 27, 7, 23, 14, 34, 69, 28, 22, 46, 63, 64, 50, 51, 5, 3, 1, 6, 25, 48, 54, 18, 56, 62, 65, 21, 58, 37, 68]",903.4104008760161,"[32, 53, 61, 38, 24, 44, 60, 33, 11, 20, 8, 39, 45, 26, 29, 19, 2, 3, 58, 37, 68, 34, 69, 30, 12, 28, 22, 46, 57, 5, 41, 31, 7, 25, 54, 48, 27, 13, 43, 67, 51, 9, 4, 49, 36, 15, 0, 35, 63, 10, 47, 66, 55, 64, 50, 59, 52, 65, 21, 62, 56, 14, 23, 18, 6, 1, 17, 40, 42, 16]",951.5912879501175,"[12, 30, 68, 69, 34, 58, 56, 14, 23, 18, 25, 54, 48, 27, 7, 2, 41, 31, 6, 1, 3, 17, 5, 40, 42, 67, 43, 13, 19, 29, 26, 45, 44, 24, 38, 60, 39, 8, 16, 20, 33, 11, 59, 32, 61, 53, 47, 66, 10, 55, 50, 64, 63, 46, 36, 57, 49, 51, 9, 4, 52, 65, 62, 21, 37, 22, 15, 0, 35, 28]",741.6842013350296
"[60, 33, 11, 59, 51, 9, 4, 49, 57, 36, 46, 15, 0, 35, 22, 30, 68, 58, 21, 62, 65, 3, 31, 7, 27, 2, 41, 17, 1, 6, 25, 48, 54, 18, 23, 14, 56, 34, 69, 28, 12, 37, 52, 5, 40, 42, 16, 20, 32, 55, 50, 64, 63, 10, 66, 47, 53, 61, 38, 24, 44, 39, 8, 29, 19, 13, 43, 67, 26, 45]",820.9490925226212,"[34, 69, 30, 68, 1, 6, 25, 18, 23, 14, 56, 58, 62, 54, 48, 27, 67, 26, 45, 8, 12, 28, 35, 0, 15, 46, 4, 52, 65, 21, 37, 22, 36, 57, 49, 9, 11, 32, 53, 47, 66, 55, 59, 51, 50, 64, 63, 10, 61, 38, 24, 44, 39, 60, 33, 20, 16, 42, 41, 17, 5, 40, 43, 2, 31, 7, 13, 19, 29, 3]",1077.8233438913596,"[16, 8, 39, 60, 33, 20, 11, 59, 51, 9, 49, 50, 55, 64, 63, 10, 47, 66, 32, 53, 61, 38, 24, 44, 45, 26, 67, 29, 19, 13, 27, 7, 25, 48, 54, 18, 23, 14, 56, 62, 58, 34, 68, 30, 69, 12, 28, 35, 0, 15, 36, 57, 46, 22, 37, 21, 65, 52, 4, 5, 40, 41, 17, 3, 1, 6, 31, 2, 43, 42]",746.1452706288356
"[59, 51, 9, 4, 52, 3, 17, 41, 40, 5, 65, 21, 37, 12, 28, 35, 0, 15, 63, 64, 11, 42, 16, 20, 33, 32, 66, 47, 10, 55, 50, 49, 57, 36, 46, 22, 68, 30, 69, 34, 58, 62, 56, 14, 23, 18, 7, 27, 13, 67, 8, 38, 24, 44, 45, 26, 43, 2, 31, 1, 6, 25, 54, 48, 19, 29, 39, 60, 61, 53]",908.3779405990907,"[38, 61, 53, 55, 50, 49, 4, 9, 51, 66, 47, 10, 63, 64, 32, 33, 11, 59, 57, 36, 46, 15, 12, 28, 35, 0, 22, 56, 25, 54, 48, 27, 7, 41, 40, 42, 16, 20, 52, 5, 6, 18, 23, 14, 34, 69, 30, 68, 37, 58, 21, 62, 65, 17, 3, 1, 31, 2, 43, 67, 26, 45, 29, 19, 13, 8, 39, 60, 44, 24]",961.6962029656041,"[64, 55, 50, 51, 9, 49, 57, 36, 15, 0, 35, 22, 46, 4, 52, 65, 21, 37, 30, 12, 28, 69, 34, 68, 58, 62, 56, 14, 23, 3, 17, 41, 31, 6, 1, 18, 25, 54, 48, 27, 7, 2, 13, 19, 29, 43, 67, 40, 5, 42, 16, 8, 39, 26, 45, 44, 24, 38, 60, 61, 33, 20, 11, 59, 32, 53, 47, 66, 10, 63]",748.5084766314294
