# Evolutionary Algorithm Results Summary
# Best costs from 20,000 generation runs for each population size

## EIL51:
### Population 20:
    - BALANCED: best = 607.24, avg = 614.09, worst = 744.26
    - EXPLOITATION: best = 618.18, avg = 618.92, worst = 632.81
    - EXPLORATION: best = 500.9, avg = 514.85, worst = 569.99

### Population 50:
    - BALANCED: best = 499.73, avg = 543.04, worst = 664.12
    - EXPLOITATION: best = 502.33, avg = 550.2, worst = 684.31
    - EXPLORATION: best = 465.11, avg = 517.5, worst = 651.13

### Population 100:
    - BALANCED: best = 446.64, avg = 489.0, worst = 621.95
    - EXPLOITATION: best = 441.98, avg = 497.11, worst = 627.95
    - EXPLORATION: best = 389.07, avg = 476.43, worst = 641.51

### Population 200:
    - BALANCED: best = 446.64, avg = 489.0, worst = 621.95
    - EXPLOITATION: best = 441.98, avg = 497.11, worst = 627.95
    - EXPLORATION: best = 389.07, avg = 476.43, worst = 641.51

## EIL71:
### Population 20:
    - BALANCED: best = 796.77, avg = 823.71, worst = 823.71
    - EXPLOITATION: best = 582.93, avg = 590.55, worst = 590.55
    - EXPLORATION: best = 654.02, avg = 698.25, worst = 773.73

### Population 50:
    - BALANCED: best = 796.77, avg = 823.71, worst = 823.71
    - EXPLOITATION: best = 582.93, avg = 590.55, worst = 590.55
    - EXPLORATION: best = 654.02, avg = 698.25, worst = 773.73

### Population 100:
    - BALANCED: best = 796.77, avg = 823.71, worst = 823.71
    - EXPLOITATION: best = 582.93, avg = 590.55, worst = 590.55
    - EXPLORATION: best = 654.02, avg = 698.25, worst = 773.73

### Population 200:
    - BALANCED: best = 796.77, avg = 823.71, worst = 823.71
    - EXPLOITATION: best = 582.93, avg = 590.55, worst = 590.55
    - EXPLORATION: best = 654.02, avg = 698.25, worst = 773.73

## ST70:
### Population 20:
    - BALANCED: best = 956.45, avg = 1036.24, worst = 1163.14
    - EXPLOITATION: best = 680.88, avg = 787.55, worst = 926.64
    - EXPLORATION: best = 772.42, avg = 860.79, worst = 1001.02

### Population 50:
    - BALANCED: best = 956.45, avg = 1036.24, worst = 1163.14
    - EXPLOITATION: best = 680.88, avg = 787.55, worst = 926.64
    - EXPLORATION: best = 772.42, avg = 860.79, worst = 1001.02

### Population 100:
    - BALANCED: best = 817.22, avg = 885.3, worst = 955.81
    - EXPLOITATION: best = 556.55, avg = 606.19, worst = 736.63
    - EXPLORATION: best = 627.64, avg = 714.81, worst = 847.0

### Population 200:
    - BALANCED: best = 956.45, avg = 1036.24, worst = 1163.14
    - EXPLOITATION: best = 680.88, avg = 787.55, worst = 926.64
    - EXPLORATION: best = 772.42, avg = 860.79, worst = 1001.02

## KROA100:
### Population 20:
    - BALANCED: best = 43042.82, avg = 43417.87, worst = 50543.67
    - EXPLOITATION: best = 46431.06, avg = 46431.06, worst = 46431.06
    - EXPLORATION: best = 30927.57, avg = 31342.09, worst = 34646.83

### Population 50:
    - BALANCED: best = 43042.82, avg = 43417.87, worst = 50543.67
    - EXPLOITATION: best = 46431.06, avg = 46431.06, worst = 46431.06
    - EXPLORATION: best = 30927.57, avg = 31342.09, worst = 34646.83

### Population 100:
    - BALANCED: best = 43042.82, avg = 43417.87, worst = 50543.67
    - EXPLOITATION: best = 46431.06, avg = 46431.06, worst = 46431.06
    - EXPLORATION: best = 30927.57, avg = 31342.09, worst = 34646.83

### Population 200:
    - BALANCED: best = 43042.82, avg = 43417.87, worst = 50543.67
    - EXPLOITATION: best = 46431.06, avg = 46431.06, worst = 46431.06
    - EXPLORATION: best = 30927.57, avg = 31342.09, worst = 34646.83

## KROC100:
### Population 20:
    - BALANCED: best = 41074.22, avg = 42041.31, worst = 53196.33
    - EXPLOITATION: best = 23463.23, avg = 23603.09, worst = 24874.5
    - EXPLORATION: best = 31322.63, avg = 33025.99, worst = 35125.44

### Population 50:
    - BALANCED: best = 41074.22, avg = 42041.31, worst = 53196.33
    - EXPLOITATION: best = 23463.23, avg = 23603.09, worst = 24874.5
